,date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
176,1/31/2021,-20.32258065,-0.903225806,-33.74193548,-26.03225806,-8.741935484,9.35483871,Rewari
177,1/31/2021,-29.19354839,3.419354839,-20.19354839,-21.74193548,-18.06451613,9.064516129,Rohtak
178,1/31/2021,-12.41935484,25.83870968,-26.93548387,-18.03225806,-11.22580645,6.225806452,Sirsa
179,1/31/2021,-20.51612903,-14.87096774,-25.38709677,-28.06451613,-21.35483871,9.322580645,Sonepat
180,1/31/2021,-14.0,3.35483871,-29.29032258,-21.22580645,-12.93548387,9.548387097,Yamuna Nagar
181,1/31/2021,-21.51612903,54.39130435,8.322580645,31.09677419,-17.35483871,14.35483871,Bilaspur
182,1/31/2021,-3.838709677,65.0,16.19354839,6.677419355,-9.096774194,12.96774194,Chamba
183,1/31/2021,-30.41935484,-27.25806452,-12.51612903,5.483870968,-14.16129032,10.58064516,Hamirpur
184,1/31/2021,-13.22580645,12.64516129,2.483870968,-1.032258065,-12.51612903,11.58064516,Kangra
185,1/31/2021,,,-16.24137931,7.967741935,-4.935483871,-1.0,Kinnaur
186,1/31/2021,2.064516129,-10.25806452,8.806451613,8.580645161,-11.4516129,12.48387097,Kullu
187,1/31/2021,-23.19354839,21.87096774,17.41935484,0.161290323,-16.51612903,11.77419355,Mandi
188,1/31/2021,-18.09677419,13.58064516,-0.967741935,14.80645161,-10.51612903,14.25806452,Shimla
189,1/31/2021,-11.83870968,40.32258065,-9.903225806,10.03225806,-6.161290323,10.70967742,Sirmaur
190,1/31/2021,-19.5483871,2.838709677,-14.29032258,-8.193548387,-8.483870968,9.870967742,Solan
191,1/31/2021,-40.09677419,-19.5483871,36.67741935,-7.064516129,-22.87096774,10.80645161,Una
192,1/31/2021,-19.51612903,17.12903226,20.87096774,-8.967741935,-10.58064516,14.51612903,Bokaro
193,1/31/2021,-19.77419355,13.125,20.4516129,6.838709677,-11.38709677,13.29032258,Chatra
194,1/31/2021,-8.35483871,46.5483871,-17.74193548,-8.709677419,-6.903225806,15.90322581,Deoghar
195,1/31/2021,-20.4516129,28.41935484,6.290322581,-19.90322581,-12.19354839,11.87096774,Dhanbad
196,1/31/2021,-15.48387097,19.74193548,26.06451613,26.38709677,-10.58064516,14.03225806,Dumka
197,1/31/2021,-24.61290323,9.096774194,5.774193548,-19.35483871,-14.77419355,11.5483871,East Singhbhum
198,1/31/2021,-9.161290323,82.06896552,,21.51612903,-4.935483871,14.22580645,Garhwa
199,1/31/2021,-18.4516129,122.4516129,50.4516129,7.64516129,-2.0,15.77419355,Giridih
200,1/31/2021,-2.483870968,85.39285714,44.09677419,-12.77419355,-4.387096774,13.32258065,Godda
201,1/31/2021,-3.258064516,3.0,-1.709677419,0.967741935,-11.58064516,13.0,Gumla
202,1/31/2021,-12.83870968,13.38709677,-4.0,16.51612903,-9.096774194,14.32258065,Hazaribagh
203,1/31/2021,-33.51612903,20.78947368,-0.807692308,-21.35483871,-19.35483871,16.03225806,Jamtara
204,1/31/2021,-35.16129032,23.95833333,-21.07407407,35.83870968,-18.87096774,13.35483871,Khunti
205,1/31/2021,-27.83870968,90.96,-18.16129032,-11.83870968,-0.129032258,12.09677419,Koderma
206,1/31/2021,-33.93548387,,27.70967742,-22.77419355,-18.38709677,12.90322581,Latehar
207,1/31/2021,-2.580645161,34.61111111,39.0,-40.25806452,-13.87096774,10.67741935,Lohardaga
208,1/31/2021,-21.32258065,44.19354839,-21.51612903,3.967741935,-20.06451613,11.16129032,Pakur
209,1/31/2021,-8.516129032,97.19354839,-2.35483871,-1.193548387,-7.419354839,13.06451613,Palamu
210,1/31/2021,-22.19354839,1.193548387,-6.35483871,-3.225806452,-10.12903226,13.61290323,Ramgarh
211,1/31/2021,-29.80645161,1.774193548,-33.96774194,-11.48387097,-20.4516129,12.77419355,Ranchi
212,1/31/2021,-5.64516129,72.2,-2.161290323,-3.129032258,-16.96774194,11.35483871,Sahibganj
213,1/31/2021,-7.64516129,24.67741935,-2.774193548,-34.80645161,-6.709677419,13.87096774,Seraikela Kharsawan
214,1/31/2021,-5.384615385,,,2.161290323,-15.51612903,10.51851852,Simdega
215,1/31/2021,-19.35483871,9.451612903,11.22580645,-16.16129032,-10.35483871,14.25806452,West Singhbhum
216,1/31/2021,-13.74193548,32.35483871,21.12903226,-0.741935484,-12.38709677,15.0,Bagalkot
217,1/31/2021,-17.5483871,40.96774194,10.83870968,-19.03225806,-14.83870968,14.35483871,Bangalore Rural
218,1/31/2021,-37.41935484,-6.096774194,-43.4516129,-24.32258065,-41.70967742,12.5483871,Bangalore Urban
219,1/31/2021,-14.80645161,43.83870968,-13.4516129,8.161290323,-8.387096774,14.58064516,Belagavi
220,1/31/2021,-19.16129032,31.19354839,-19.12903226,-5.483870968,-13.51612903,11.32258065,Bellary
221,1/31/2021,-25.19354839,56.48387097,-0.516129032,-14.51612903,-13.22580645,10.22580645,Bidar
222,1/31/2021,-15.96774194,45.90322581,-38.74193548,4.225806452,-11.38709677,14.19354839,Bijapur
223,1/31/2021,-10.41935484,116.1666667,19.51612903,10.16129032,-8.548387097,10.64516129,Chamarajanagar
