date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
7/31/2021,-41.79347826,-19.95652174,-11.56521739,-34.20652174,-29.44565217,14.7826087,Karbi Anglong
10/31/2021,-26.48913043,-0.72826087,-2.304347826,-19.30434783,-17.4673913,9.706521739,Karbi Anglong
1/31/2022,-17.73770492,9.295081967,10.81967213,-10.60655738,-11.3442623,7.754098361,Karbi Anglong
1/31/2021,-20.87096774,-4.35483871,39.80645161,-20.80645161,-9.096774194,13.38709677,Karimganj
4/30/2021,-18.8988764,2.95505618,33.39325843,-16.58426966,-8.674157303,13.79775281,Karimganj
7/31/2021,-33.86956522,-8.75,34.30434783,-30.05434783,-17.7173913,19.01086957,Karimganj
10/31/2021,-13.11956522,15.85869565,76.5,-10.79347826,-7.086956522,15.5,Karimganj
1/31/2022,1.016393443,29.73770492,148.0163934,-4.409836066,1.93442623,13.60655738,Karimganj
1/31/2021,-16.93548387,-3.548387097,5.419354839,-43.29032258,-5.774193548,14.87096774,Kokrajhar
4/30/2021,-8.696629213,4.04494382,-21.50561798,-37.70786517,-5.853932584,14.4494382,Kokrajhar
7/31/2021,-26.82608696,-10.5,-29.39130435,-47.2826087,-13.18478261,21.33695652,Kokrajhar
10/31/2021,-0.804347826,10.93478261,-12.04347826,-37.51086957,-0.076086957,16.54347826,Kokrajhar
1/31/2022,11.27868852,26.18032787,-4.295081967,-35.59016393,17.49180328,14.32786885,Kokrajhar
1/31/2021,-12.09677419,-16.77419355,36.90322581,-10.87096774,-14.19354839,11.16129032,Lakhimpur
4/30/2021,-6.696629213,-10.47191011,19.80898876,-12.59550562,-13.38202247,11.56179775,Lakhimpur
7/31/2021,-28.13043478,-31.08695652,10.09782609,-38.54347826,-23.90217391,19.92391304,Lakhimpur
10/31/2021,3,-1.52173913,24.60869565,-11.5,-8.663043478,13.11956522,Lakhimpur
1/31/2022,17,12.86885246,20.21311475,-3.459016393,6.852459016,10.6557377,Lakhimpur
1/31/2021,-16.09677419,2.290322581,4.774193548,-19.93548387,-16,8.193548387,Morigaon
4/30/2021,-20.26966292,6.202247191,-2.224719101,-10.88764045,-15.17977528,8,Morigaon
7/31/2021,-41.66304348,-11.73913043,-14.41304348,-31.17391304,-25.90217391,14.55434783,Morigaon
10/31/2021,-17.48913043,12.18478261,-6.97826087,19.93478261,-12.19565217,9.5,Morigaon
1/31/2022,-9.098360656,24.14754098,-12.62295082,55.85245902,0.672131148,7.573770492,Morigaon
1/31/2021,-10.96774194,5.322580645,42.03225806,-24.06451613,-12.83870968,12.25806452,Nagaon
4/30/2021,-5.719101124,13.52808989,22.58426966,-18.97752809,-12.20224719,12.57303371,Nagaon
7/31/2021,-26.32608696,-8.402173913,14.57608696,-36.2826087,-20.08695652,19.17391304,Nagaon
10/31/2021,0.630434783,14.9673913,29.13043478,-16.25,-9.630434783,13.70652174,Nagaon
1/31/2022,12.63934426,25.3442623,40.39344262,-8.754098361,1.983606557,11.45901639,Nagaon
1/31/2021,-18.77419355,35.38709677,77.96774194,-11.83870968,-16.77419355,12.5483871,Nalbari
4/30/2021,-14.96629213,42.87640449,56.06741573,-9.865168539,-13.73033708,13.15730337,Nalbari
7/31/2021,-28.31521739,20.43478261,54.14130435,-25.11956522,-21.72826087,19.86956522,Nalbari
10/31/2021,-1.423913043,43.5326087,77.29347826,-8.315217391,-12.47826087,13.83695652,Nalbari
1/31/2022,8.68852459,55.49180328,89.16393443,4.704918033,-2.262295082,11.01639344,Nalbari
1/31/2021,-17.61290323,32.03225806,-12.16129032,-12.19354839,-16.22580645,10.06451613,Sivasagar
4/30/2021,-12.6741573,37.75280899,-14.84269663,-9.898876404,-17.57303371,10.28089888,Sivasagar
7/31/2021,-30.65217391,10.07608696,-30.40217391,-33.55434783,-25.5326087,18.05434783,Sivasagar
10/31/2021,-8,46.14130435,-15.34782609,-14.93478261,-15.51086957,11.90217391,Sivasagar
1/31/2022,3.245901639,55.03278689,-4.606557377,-8.098360656,-5.639344262,9.426229508,Sivasagar
1/31/2021,-17.51612903,21.74193548,7.322580645,-16.03225806,-12.25806452,12.4516129,Sonitpur
4/30/2021,-13.64044944,33.46067416,6.056179775,-13.4494382,-9.359550562,12.46067416,Sonitpur
7/31/2021,-37.15217391,2.630434783,-23.79347826,-39.07608696,-18.51086957,20.72826087,Sonitpur
10/31/2021,-7.891304348,41.25,12.06521739,-11.92391304,-4.836956522,13.23913043,Sonitpur
1/31/2022,3.967213115,54.95081967,30.1147541,-2.508196721,9.737704918,11.31147541,Sonitpur
1/31/2021,-23.12903226,52.41935484,-5.935483871,-30.29032258,-16.25806452,10.12903226,Tinsukia
4/30/2021,-19.4494382,64.6741573,-4.348314607,-27.23595506,-14.30337079,9.573033708,Tinsukia
7/31/2021,-34.26086957,35.27173913,-19.80434783,-46.95652174,-21.86956522,17,Tinsukia
10/31/2021,-13.36956522,88.81521739,7.652173913,-27.76086957,-11.92391304,10.69565217,Tinsukia
1/31/2022,-7.278688525,105.4262295,17.14754098,-21.44262295,-3.918032787,8.803278689,Tinsukia
1/31/2021,-11.87096774,-15.93548387,-4.129032258,-22.58064516,-18.41935484,10.64516129,Udalguri
4/30/2021,-6.359550562,-5.97752809,-13.88764045,-17.39325843,-18.19101124,10.23595506,Udalguri
7/31/2021,-16.59782609,-18.42391304,-7.956521739,-32.59782609,-20.19565217,17.16304348,Udalguri
10/31/2021,6.315217391,1.684782609,-4.315217391,-14.36956522,-7.489130435,12.10869565,Udalguri
1/31/2022,18.1147541,7.966666667,3.852459016,-9.278688525,2.68852459,9.819672131,Udalguri
1/31/2021,-8.64516129,33.58064516,-12.32258065,-17.4516129,-10.48387097,13.87096774,Araria
4/30/2021,-2.08988764,40.56179775,-8.348314607,-12.33707865,-12.33707865,11.41573034,Araria
7/31/2021,-2.532608696,45.81521739,-2.054347826,-14.61956522,-12.82608696,14.45652174,Araria
