,Districts,Mean Cases
548,Chamba,2921
549,Banda,3816
550,Panchkula,10305
551,Latur,23875
552,Dhamtari,8295
553,Malkangiri,5233
554,Banswara,2236
555,Siwan,4749
556,Ashoknagar,1120
557,Hoshangabad,3746
558,Sukma,3799
559,S.P.S. Nellore,62237
560,East Kameng,304
561,Buldhana,14318
562,Guntur,75218
563,Daman,1409
564,Muzaffarnagar,8601
565,Karnal,11004
566,Rayagada,8390
567,Dadra and Nagar Haveli,1651
568,Mokokchung,186
569,Kiphire,41
570,Prakasam,62113
571,Rajgarh,2364
572,Botad,1042
573,Rajkot,21365
574,Simdega,2034
575,Nagpur,131319
576,Lower Dibang Valley,474
577,Tehri Garhwal,4198
578,Hooghly,29083
579,Chikkaballapura,13340
580,Dhar,4004
581,Udupi,23213
582,Shopiyan,2545
583,Ganjam,21844
584,Bhavnagar,5952
585,Dakshin Dinajpur,8126
586,Dibrugarh,0
587,Narsinghpur,3479
588,Vidisha,3563
589,Upper Dibang Valley,23
590,Kannauj,3487
591,Latehar,1932
592,BSF Camp,85
593,Tiruvannamalai,19278
594,Baloda Bazar,9342
595,Kanpur Nagar,32635
596,West Godavari,94087
597,Parbhani,7779
598,Gopalganj,5784
599,Sheohar,1492
600,Koderma,3449
601,Madhepura,4851
602,Faridabad,45963
603,Bikaner,19034
604,Rupnagar,3450
605,Sehore,2749
606,West Siang,1029
607,Thiruvananthapuram,87324
608,Krishnagiri,7988
609,East Khasi Hills,8456
610,Lakshadweep,122
611,Lohardaga,1789
612,Niwari,671
613,Hoshiarpur,7919
614,Dindigul,11113
615,Khargone,5295
616,Auraiya,3517
617,Buxar,4004
618,Thiruvarur,11073
619,Jhunjhunu,4553
620,Jaisalmer,2218
621,S.A.S. Nagar,18928
622,Banaskantha,4655
623,Tarn Taran,2127
624,Umaria,1278
625,Tenkasi,8349
626,Gorakhpur,21264
627,Dumka,1388
628,Tuensang,245
629,Meerut,22076
630,Palwal,4409
631,Ferozepur,4559
632,Sambhal,3192
633,Gaya,7891
634,Kangra,8046
635,Bidar,7334
636,Barwani,2833
637,Other State,521
638,Ariyalur,4662
639,Dang,170
640,Kancheepuram,29032
