District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Warangal Urban,587751,592820,596928,597129,601429,605286,608709,608814,612333,614945,615622,618324,620464,623079,623192,625662,627537,627654,629822,630790,632319,632345,634394,636549,636681,638957,641121,643866,643971,647139,649982,650131,653819,656358,659906,660006,663895,667429,667757,673021,673081,678513,678623,685465,691806,691984,707095,733103,742367,753655,767604,781424,786944,803739,822650,842218,842499,852858,853646,854217,871625,879988,889557,890969,902226,910014,910575,917689,923771,929333,929407,933897,938078,942201,942693,942695,942741,942751,951740,961263,971795,987272,1004620,1020542,1020596,1036163,1050829,1065300,1081279,1093945,1106214,1106357,777169.0
Yadadri Bhuvanagiri,348934,352948,356371,356408,359574,364127,365811,365834,368604,370806,371683,372801,375211,377632,377632,381255,385297,385302,389129,389792,391290,391438,393717,395982,396014,398272,399704,401375,401550,403761,405465,405537,407851,409597,411467,411475,413674,415713,415730,419007,419057,420972,420972,424572,427539,427561,438565,455690,462712,471266,477627,488722,489326,499332,510872,520637,520894,526671,527556,527556,536871,537651,542320,542580,547651,547897,547897,557634,565380,571091,571182,575608,578916,580232,580364,580364,580364,580364,586515,592371,596516,602152,609792,617932,620041,626322,632488,638632,652348,667735,682192,687360,477159.0
Dhalai,303031,304513,306113,306900,307661,309255,310066,310481,311056,311922,312432,313181,313899,314380,314421,314785,315254,315407,315718,316211,316669,316770,317172,317663,317799,318243,318715,319225,319383,319551,320033,320159,320573,320840,321071,321160,321862,322443,322571,323928,325061,326144,326228,330240,335655,341373,343951,345869,346839,346990,350636,354943,355986,360178,363476,365973,366269,369164,372344,374183,377377,380701,383396,384140,387010,392300,394156,396764,398430,400103,400547,401252,401441,401443,401463,401464,401851,401959,403583,404779,405085,406641,408756,411268,411490,413810,415766,416223,418078,420953,422452,422988,353388.0
Gomati,334549,335403,336199,336972,337408,338098,338575,338947,339941,341522,342937,344362,345725,347364,347601,348231,348996,349762,350362,351105,351881,351998,352543,353054,354089,354935,355019,355888,355998,355999,357039,357818,358494,359463,359955,360001,360851,361923,362310,363761,364000,364862,364955,371562,380448,387876,391784,392735,393151,393182,397495,400419,402081,404505,405081,406282,406296,409091,411633,413744,416074,417642,417739,417739,420487,422042,422070,424693,425014,426121,426177,426967,427067,427069,427083,427083,427442,427442,428153,428206,428206,429093,429610,430576,430577,432871,435069,438129,438901,439608,440506,440507,386459.0
Khowai,235041,235838,236423,237015,237619,238432,239239,239804,240795,241768,242774,244137,245647,247432,248123,248322,248663,249476,249807,250334,250833,251130,251694,252220,252749,253127,253671,254295,254424,254890,255410,255745,256138,256517,256826,256826,257316,257949,258285,259630,260955,262485,262613,265600,269419,272908,274269,275402,275974,276132,278457,280539,283262,284898,285170,287652,287776,289776,290916,292825,293986,295131,295346,295408,296635,297893,297893,298778,298894,299693,299730,300251,300286,300286,300320,300320,300773,300773,301452,301452,301477,302074,305074,306077,307864,309120,310478,311557,312484,313586,314103,314103,273877.0
North Tripura,355923,357043,357930,357930,358775,359487,359952,359952,360662,361196,361221,361894,362361,362817,362817,363283,363647,363647,363882,364436,364701,364701,365255,365724,365724,366175,366533,366921,366921,367046,367458,367458,367783,368105,368306,368306,368935,369810,369810,371589,373396,375801,375801,385025,396322,407344,410020,412005,412797,412797,418384,422655,422655,431322,431408,436287,436287,440528,444062,444062,447627,450418,451473,451473,454375,456912,456912,460843,460843,462232,462232,462898,462898,462898,462898,462898,463562,463562,464304,464304,464304,466600,469219,469945,469945,470868,471862,471862,473022,473578,474396,474396,409681.0
Sipahijala,420937,421794,422766,423711,424389,425422,426067,426094,426964,427545,428008,428841,429000,429444,429460,429750,429983,430358,430392,430757,431109,431110,431850,432793,433439,434209,434336,434542,434596,434665,434919,435150,435471,435688,435982,435990,436346,436908,437579,439647,441964,444973,444998,448604,452689,456848,461224,464826,466515,466677,473333,479383,483471,488134,488851,493226,493300,498802,502734,504758,507332,510768,510956,510986,514808,518614,518649,520506,520608,523135,523194,524332,524466,524466,524517,524527,524942,524976,526696,526734,526741,527864,529236,531863,531987,535164,537814,538892,540615,542253,542826,542835,473115.0
South Tripura,394179,394455,394716,395080,395667,396236,396829,396830,397340,397752,398126,398292,398292,399264,399280,400082,400551,401205,401506,402308,403778,403810,406606,409029,411255,413779,414251,416726,416755,416845,419311,420755,421900,423070,424204,424204,424829,425685,426873,428167,428167,430137,430151,439116,451290,466068,468748,470207,471389,471391,474535,478761,481634,484288,484318,485823,485823,489060,492450,494741,497823,499504,499504,499504,500373,501220,501220,503426,503426,503895,503895,504811,504811,504811,504908,504908,504977,504977,505696,505697,505697,506527,506663,507340,507340,508648,509308,509912,511825,512847,513245,513246,454999.0
Unokoti,213184,213459,213899,214240,214516,215133,215247,215247,215738,216383,216539,216837,216918,216982,217021,217259,217369,217430,217496,217776,217839,217875,218070,218236,218293,218600,218609,218721,218721,218721,218876,218899,219099,219250,219285,219285,219514,219810,219911,220292,220292,220713,220891,224358,231130,238445,239171,239469,239858,239995,242472,244468,245366,247279,247510,248444,248643,250044,250800,250984,252576,253474,253488,253802,255204,256729,256729,258414,258644,258994,259006,259577,259588,259588,259590,259590,259631,259631,260615,260625,260625,262036,262817,263487,263499,267712,272781,273143,273818,274466,274563,274568,237673.0
West Tripura,907296,909966,912706,914789,916310,918072,919424,919567,922798,926742,930728,934863,938259,942800,942823,945402,947754,948704,951104,953353,955529,955574,958730,961173,962241,965261,967111,969931,969946,971133,973199,974011,976250,977825,980356,980408,982830,985908,987127,989984,992670,997106,997109,1004901,1015119,1024561,1028605,1032536,1035100,1035146,1043461,1050602,1053263,1060282,1065167,1070666,1070701,1076885,1081929,1084372,1089996,1093785,1094867,1094867,1099866,1103932,1103969,1107626,1109671,1112637,1112647,1114299,1114325,1114325,1114335,1114335,1115453,1115454,1117493,1117864,1117868,1120672,1124119,1128198,1128307,1132244,1136165,1137956,1141328,1144148,1146796,1146814,1028636.0
Agra,1191707,1204597,1265445,1279657,1289093,1301569,1307069,1307189,1320734,1335893,1348692,1366015,1381251,1394377,1394418,1450539,1463760,1475143,1490904,1501505,1511147,1511679,1546106,1567684,1583264,1596461,1669546,1687339,1687524,1709676,1740752,1757075,1795895,1833402,1849403,1849502,1922550,1955710,1973184,2004560,2042275,2060098,2060165,2105769,2129574,2137994,2150882,2226635,2233487,2233548,2264352,2280824,2296028,2320845,2339362,2351061,2351102,2442769,2472557,2485889,2509294,2554432,2561435,2561455,2601592,2619735,2627185,2633558,2668028,2675743,2675764,2705445,2714638,2719199,2722828,2726541,2732845,2732858,2758272,2777407,2798650,2818381,2839443,2852578,2852683,2870150,2884869,2891782,2902874,2912792,2918850,2919293,2114650.0
Aligarh,790566,799430,855219,863826,870997,874282,879966,879966,893270,905257,910889,917732,930026,934682,934682,997368,1005166,1012211,1025899,1032114,1035678,1035833,1050236,1066752,1076649,1087389,1159043,1168213,1168213,1171523,1180812,1191456,1207514,1229171,1236959,1237387,1312440,1324594,1333259,1347890,1378015,1385367,1385367,1401970,1415883,1425665,1434534,1517622,1521795,1521795,1538532,1551741,1558906,1570303,1583525,1595596,1595598,1679837,1690802,1702176,1712249,1768994,1772115,1772117,1803033,1816102,1820868,1823429,1866555,1871515,1871543,1902602,1906219,1908477,1909419,1910230,1914661,1914692,1937437,1952799,1965421,1978177,1991677,1995646,1995858,2021835,2042810,2053652,2067556,2082136,2088050,2088084,1455604.0
Ambedkar Nagar,491147,491249,526163,529574,539807,542390,542571,542571,554517,558454,562876,572647,579907,582663,582663,612564,620519,633284,645874,653805,656877,657085,666984,677746,689513,697538,732210,738760,738786,755985,771529,784816,803758,822333,829625,829625,865176,880713,893004,907168,923543,933106,933119,955669,972046,975289,977790,1004267,1010871,1011372,1032081,1046070,1056986,1075875,1085027,1095762,1095762,1138327,1156577,1166613,1182930,1207413,1210670,1210685,1233714,1243876,1249362,1258532,1280972,1289452,1289459,1311199,1323569,1328170,1329663,1330442,1336124,1336315,1356251,1360948,1380218,1395389,1414710,1431611,1431623,1446019,1452449,1456593,1467915,1477776,1484910,1485193,982661.0
Amethi,479026,479533,505735,507083,518378,522830,524473,524493,536956,543294,549864,559948,570524,573389,573389,597524,608223,621756,628497,644840,645546,646233,661747,679994,686162,693015,728938,732696,732771,746921,785856,795016,823302,830070,835545,835544,864891,893847,907408,923355,938927,945374,945393,966172,976328,980205,981230,1010677,1015617,1015724,1036889,1047248,1057927,1073279,1082567,1087640,1087640,1114459,1126608,1136637,1148706,1166661,1170993,1171033,1184879,1195272,1200818,1207896,1221905,1227858,1227880,1237430,1243221,1248499,1253914,1254446,1258403,1258472,1279863,1287418,1296578,1311465,1323883,1333251,1333321,1344556,1356605,1364579,1375294,1383448,1390539,1390715,954293.0
Amroha,381637,389413,413362,418116,422246,427123,430403,430403,435865,442460,446392,452035,458886,460645,460645,486131,492689,497712,506315,514661,515866,516089,529105,541381,546216,553382,583384,586068,586068,589319,613998,619130,637496,651854,654363,654367,684808,702468,708863,728287,747150,750477,750477,769568,777659,782360,787248,817980,819636,819640,838661,849088,852607,867922,873925,877683,877684,914140,928117,932624,946248,965779,967050,967120,984824,994624,996183,1005248,1019932,1022264,1022265,1033132,1039248,1040741,1041988,1042552,1044629,1044635,1054859,1065113,1074498,1084040,1089353,1097630,1097643,1108055,1112291,1116311,1124891,1132892,1136757,1136771,776238.0
Auraiya,294588,295492,316000,317984,325155,326594,327069,327069,332530,335732,339955,344464,349239,353284,353284,370867,376553,381667,388700,395001,396277,396370,399443,405676,411113,418389,440632,445162,445162,453710,466848,472446,484929,494842,497846,497866,516557,526846,530941,540704,550020,554447,554447,563790,572041,576309,577000,592610,594189,594219,604361,610392,613572,617334,626763,630437,630437,650556,661770,668360,675136,686138,687681,687681,695463,702360,704323,709512,716617,718926,718926,725485,729913,731506,732294,732897,735212,735212,745463,750789,756891,761997,767883,772165,772165,778363,785249,787069,790340,794233,795486,795486,563205.0
Ayodhya,564002,573306,603957,613945,619139,624367,627652,627681,636077,641415,647767,654278,663605,669363,669365,698449,709904,720286,731092,740435,744175,744487,754061,764510,776227,793779,829905,837514,837586,851256,878148,892282,908346,923608,930724,930749,977720,994781,1008068,1022641,1040782,1050386,1050387,1066934,1084652,1093092,1096273,1128842,1135961,1135979,1151732,1166583,1180319,1196571,1204783,1216032,1216051,1271536,1288256,1300523,1311162,1357062,1362749,1365811,1402445,1416970,1422239,1428460,1460681,1467383,1469355,1494166,1501945,1505446,1507536,1508471,1513630,1514643,1548818,1563747,1578401,1596935,1612361,1625628,1625756,1641211,1654602,1658809,1671166,1682386,1688402,1689071,1112606.0
Azamgarh,991438,995164,1042501,1061323,1074125,1078963,1090654,1091764,1111302,1126677,1142268,1162742,1179339,1191306,1192146,1241685,1270031,1295781,1314638,1332396,1343279,1344453,1360832,1384228,1408780,1428438,1499055,1519936,1522084,1544606,1581853,1607531,1638949,1675537,1696036,1698171,1772262,1801108,1822720,1840891,1872541,1894776,1896662,1931091,1961000,1975229,1985353,2036426,2051562,2052575,2080326,2107188,2126006,2154492,2179060,2197726,2198812,2263517,2290426,2298818,2313253,2353729,2357650,2357990,2392512,2408647,2417278,2427219,2467414,2483747,2484495,2519591,2532326,2539245,2544447,2545046,2553130,2553496,2587823,2601519,2627708,2647328,2675977,2702727,2704274,2726011,2746194,2756922,2770808,2787748,2804358,2809233,1937287.0
Budaun,519351,520936,557089,561656,571758,576616,577833,577833,589863,597887,604673,618036,629594,632053,632139,671267,683330,691468,705878,713016,714842,716559,728583,741022,751578,760181,814070,818479,818566,827685,869014,881487,913536,929440,931478,931538,990493,1014669,1026245,1054892,1081567,1085984,1086136,1125282,1139970,1142556,1148124,1197305,1199485,1199485,1240338,1250212,1260630,1284663,1294020,1297411,1297469,1364434,1382485,1388853,1402487,1427606,1429098,1429114,1448922,1464535,1469073,1480958,1499918,1504262,1505448,1524460,1537885,1541475,1542518,1543200,1546076,1546689,1581511,1596271,1609006,1633537,1653649,1674069,1675626,1704033,1726437,1734176,1750597,1765804,1772035,1773033,1135071.0
Baghpat,492924,498567,524375,529618,533940,536255,539304,539396,542425,545026,547122,552966,556219,558653,558660,572618,576450,578394,585227,592200,594522,595098,599097,605722,609451,614055,631310,634889,634900,637587,646208,647275,661514,670550,672552,672570,688790,699712,704591,715663,726424,728656,728664,738060,745006,747268,749868,777268,777820,777885,786669,793647,795626,807592,813924,819575,819670,849376,854514,859032,861970,870617,873451,873461,883517,889309,890613,894086,908581,910273,910278,923734,926494,927686,928430,928881,930822,930888,948707,957920,969863,982864,990064,997434,997446,1006073,1013302,1018046,1021842,1027087,1029364,1029426,759190.0
Bahraich,927010,931708,967724,994106,1004232,1016811,1019869,1019895,1029402,1037116,1044878,1053411,1063231,1068570,1068781,1096113,1114768,1126714,1140480,1147032,1153783,1155978,1162627,1171216,1181570,1211660,1251905,1271611,1280502,1302362,1330462,1352317,1381545,1399499,1408867,1409465,1457921,1485669,1503299,1526409,1549756,1562210,1563078,1589892,1610588,1620182,1627209,1681173,1689751,1690165,1711560,1731570,1740868,1753307,1761236,1765689,1765729,1841269,1865457,1874610,1881281,1926839,1932152,1932209,1965115,1974921,1975284,1975451,2016032,2023402,2023688,2053840,2061345,2063531,2070230,2070927,2073126,2073255,2126041,2138507,2152844,2185354,2215349,2233054,2234671,2271084,2282539,2294194,2342653,2376046,2392537,2394750,1619544.0
Balrampur,552458,554781,580730,590781,595643,608621,612173,612195,625230,633336,638867,646565,654916,659382,659942,680924,692451,694476,707129,716495,721203,722859,731423,740673,752094,755936,778463,790067,791459,807114,828355,836586,853626,869003,872469,872594,897726,915576,924009,938062,956119,970010,974425,988841,1002042,1006003,1010475,1025113,1040248,1043156,1053891,1063822,1067950,1079851,1087477,1092408,1092768,1120618,1137989,1143671,1151962,1172228,1181997,1182944,1200090,1212864,1218695,1226180,1239256,1250161,1251646,1263529,1270976,1274909,1278443,1279020,1282794,1282881,1298023,1307996,1317105,1335783,1348297,1356225,1356621,1378483,1395210,1401815,1414998,1426767,1432599,1433976,994541.0
Ballia,526088,535506,566105,579689,584762,586882,593537,594285,607446,619638,627453,640041,647150,651341,651548,685086,700533,712607,731004,739070,741965,742843,764765,782060,796811,810616,861833,875866,876257,887009,919029,933452,956709,987046,995412,995879,1054667,1074094,1090640,1105254,1132738,1144569,1145157,1176364,1194756,1199508,1208790,1264535,1273201,1273371,1300774,1321506,1327407,1351486,1366601,1378218,1378361,1437934,1461622,1466604,1475203,1501351,1503346,1503583,1533136,1550864,1559938,1568492,1597963,1610497,1610893,1636226,1645453,1649689,1651476,1652182,1659356,1659374,1680409,1688655,1698742,1712546,1726634,1743242,1744214,1761722,1779676,1786701,1800202,1813455,1821540,1821796,1193305.0
Banda,384456,389234,410087,418560,423807,428390,432388,432456,437489,444401,449616,456026,463109,465734,465734,487090,497899,504338,514478,521465,523711,524288,528988,540487,549750,559900,585197,590797,591293,596241,607945,613962,623005,631515,636681,637039,656998,667715,673773,678917,688217,694149,694343,701030,709748,714113,719797,740339,744132,744381,762950,770316,775375,783512,789207,793727,793931,808031,816644,822198,829071,840048,842561,842715,850111,856573,859832,863074,870678,873094,873133,878711,883323,885174,886484,887321,888994,888998,897134,902904,913159,927277,940149,954471,957245,974039,989715,1002826,1010478,1020450,1031825,1032743,709407.0
Barabanki,730533,738827,781296,791125,798892,807985,810762,810804,820308,830177,838327,848768,855633,858973,858973,889305,903320,913780,934080,942342,946347,946507,962170,978410,989084,1000493,1045354,1053751,1053935,1069605,1090922,1106951,1127761,1145471,1152056,1152307,1202662,1224967,1239593,1260523,1281769,1289973,1290031,1315614,1333758,1339068,1341102,1384651,1390812,1390822,1411035,1433293,1448341,1466074,1484251,1490429,1490430,1546282,1585130,1597443,1610887,1650947,1656292,1656305,1677936,1686928,1690368,1694497,1721633,1728690,1728695,1753511,1761310,1766709,1769061,1770574,1776743,1776745,1816856,1831852,1861924,1884311,1908661,1926412,1927005,1959811,1986077,1995836,2007378,2022966,2037941,2037996,1357677.0
Bareilly,1100299,1110085,1161183,1178390,1188570,1197861,1203628,1203822,1211879,1221984,1230325,1254167,1283353,1295446,1295654,1342894,1358626,1382210,1406909,1424042,1432579,1434050,1447728,1471030,1485127,1499320,1569175,1584085,1584416,1591713,1644061,1662529,1711449,1726225,1735848,1735934,1821259,1871270,1892753,1927810,1949300,1963132,1963279,2004660,2020877,2033362,2044622,2119014,2127779,2128026,2169806,2185892,2197333,2240685,2256712,2265688,2265901,2353636,2381236,2404933,2431136,2465961,2476697,2476878,2506085,2525126,2540038,2562141,2590373,2608479,2609618,2637094,2655270,2666378,2668613,2670888,2683901,2684189,2712309,2732256,2756255,2791379,2817776,2837740,2839188,2868344,2889333,2903427,2921522,2947324,2964868,2971581,2036606.0
Basti,664211,667765,692751,709006,715640,722039,728796,728852,737670,746589,752861,757333,764395,767902,767955,796171,809335,821387,829770,840178,843624,844645,851564,862732,874997,882033,915253,921789,922316,935645,958863,972703,996379,1010230,1016107,1016256,1047632,1073848,1087820,1093541,1112083,1122921,1123254,1144621,1160740,1167137,1170889,1190417,1195724,1196243,1211970,1219780,1229305,1239064,1245260,1253037,1253124,1278363,1293848,1307016,1319682,1340300,1345294,1345439,1361342,1373171,1378421,1385861,1407438,1411737,1411874,1426585,1432201,1434855,1437109,1437994,1442437,1442586,1462772,1468241,1475247,1492575,1509179,1524184,1524494,1539653,1548634,1553888,1561142,1569668,1580362,1588686,1139092.0
Bhadohi,380903,385253,406523,410484,414719,419891,421173,421173,425591,429378,433392,439350,445212,447008,447008,470236,476094,482342,489590,495710,497689,497960,504447,511566,517669,525824,551395,555360,555365,562745,575285,584497,600418,615185,619420,619422,649585,663583,670741,678018,690914,696836,696836,709038,719345,723672,727041,755043,758665,758675,769873,778158,784937,790430,798338,803915,803925,833180,839744,844858,851364,871870,875512,875517,891301,900001,903210,905564,920668,925477,925499,938122,941755,943606,945206,945741,949201,949207,961925,968172,978448,983972,992791,1001750,1001835,1010584,1018884,1021508,1027662,1034135,1037512,1037525,718654.0
Bijnor,841869,857340,909845,918162,930567,938375,945491,945491,957887,969927,978805,992518,1011104,1016157,1016157,1067113,1080743,1092318,1113614,1127890,1133576,1133826,1152661,1172818,1189172,1208254,1259014,1269553,1269561,1285327,1312200,1330022,1353948,1377683,1385283,1385283,1455715,1479367,1495114,1524962,1555968,1567038,1567038,1592384,1618395,1628672,1639583,1705828,1710185,1710185,1730837,1750548,1763535,1785702,1797444,1809598,1809598,1872106,1897732,1919897,1939214,1972629,1979385,1979385,2019304,2031815,2042105,2053780,2083435,2094409,2094409,2136072,2147335,2156069,2160642,2161551,2171216,2171216,2187424,2201787,2222475,2240568,2259631,2275991,2275993,2295069,2313307,2322978,2333221,2345549,2357164,2357164,1627166.0
Bulandshahr,1029885,1035068,1091863,1102272,1122140,1127520,1129613,1129613,1143887,1152801,1160712,1173738,1185242,1190269,1190280,1227460,1238585,1249931,1269415,1280811,1285944,1286616,1296704,1310847,1323663,1335184,1377982,1389731,1389866,1396554,1415357,1428331,1451691,1473261,1486133,1486167,1530002,1551802,1564995,1588613,1613070,1625257,1625316,1649544,1669218,1678989,1689617,1744126,1750850,1750918,1774460,1795612,1806431,1828442,1842007,1854060,1854070,1900555,1920557,1932718,1951706,1988543,1995248,1995258,2010609,2032653,2039321,2046795,2074891,2083012,2083082,2107939,2115327,2119870,2122374,2123860,2130088,2130157,2157684,2177027,2193688,2210827,2225988,2233230,2233382,2249781,2263745,2270972,2279052,2288063,2294173,2294221,1689445.0
Chandauli,390331,391664,421881,428221,433657,434931,438935,439333,449472,452089,456877,465886,472823,476222,476222,493949,504167,513304,523432,532266,534776,535094,540959,552642,558934,562949,588305,595096,595573,614319,628318,640541,660375,667138,672294,672613,698910,724282,731817,735164,755985,762347,762580,784848,793789,795072,800681,828096,834644,834743,856152,864685,872591,889196,893317,900411,900959,933194,949821,951597,962362,973816,976045,976723,991001,1000732,1005341,1017175,1028789,1035184,1035705,1044324,1050559,1053643,1055410,1055834,1059904,1060499,1076763,1085042,1090954,1102524,1114913,1124868,1127000,1136357,1146873,1153037,1160832,1169343,1177658,1178245,792369.0
Chitrakoot,230045,230650,248439,254043,256943,258402,261890,262527,266779,270293,273144,279086,281181,284796,284920,295297,297912,301319,309732,310691,310997,311319,316258,319767,323334,329213,338992,340823,341184,344565,350965,354018,358519,364416,366243,366391,374981,380076,381609,383896,388711,391404,391508,396122,398980,400905,402415,414790,416039,416493,425755,429205,432265,437426,441293,444085,446304,454627,461031,466282,472187,477109,477984,478076,480399,483868,484880,487536,491051,492854,493355,496411,499023,500516,501994,502497,503565,503802,512327,517685,523218,532332,538354,545248,547070,553869,560669,563589,568840,572244,575595,576460,406368.0
Deoria,630371,636703,683584,687774,698722,705216,706548,706563,717057,725426,734384,749060,761239,764730,764747,811139,821716,835672,850337,864248,865625,866069,879929,900495,915098,922749,987204,995731,995791,1022773,1047852,1063476,1085987,1097957,1106329,1106358,1178983,1207791,1230375,1249433,1277867,1292273,1292983,1325190,1341201,1347386,1354037,1428192,1433495,1433501,1460545,1479633,1501767,1522561,1525918,1536168,1536280,1618479,1638957,1645609,1653230,1710025,1717780,1717812,1778255,1788315,1797453,1804546,1852880,1862334,1862435,1891039,1898277,1904487,1906246,1907342,1913657,1913742,1949240,1958231,1978439,1995826,2016099,2036708,2036937,2068692,2098408,2106465,2118529,2127431,2134079,2134327,1371876.0
Etah,325614,327454,352629,355934,363315,364614,367628,367630,374543,378602,383138,390620,398071,400290,400294,422846,431501,439039,447268,456755,458305,458675,461388,471720,476819,484764,512979,516070,516090,524312,541877,546961,569328,578698,582011,582013,613037,629160,634917,655539,669442,672001,672018,688469,699225,701985,707922,737301,739520,740263,756160,764832,768639,780763,788536,792492,792510,814762,825806,829092,841321,854673,855793,856696,865895,875197,876718,884811,891659,893386,893877,904952,909259,910020,910362,910818,912349,912823,925066,931794,937907,946423,954717,959482,959668,969858,979401,981961,987613,997466,1001401,1002046,684778.0
Etawah,359171,361876,381449,389732,393256,398872,400239,400295,406916,410819,415069,421253,426219,427429,427501,443261,447587,451618,461322,466663,468442,468714,473722,478798,482692,492386,513800,518075,518483,526065,536207,541100,548053,554467,557310,557353,584668,592787,596524,602941,608950,612300,612318,619134,623785,626951,627914,651090,654128,654221,662906,668954,672017,676327,680053,682715,682723,706555,714217,719928,728849,745226,749336,750222,760678,769337,772340,779202,787812,791870,792247,797504,802256,804323,805085,806069,809391,809714,823382,832152,840253,848739,864010,873185,874258,893706,907830,920839,934945,947410,960062,961919,637005.0
Farrukhabad,362176,368564,396011,402211,406573,410299,415050,415099,420438,425837,431434,437578,442490,445294,445497,469579,476255,481383,494481,498002,499420,500020,508268,514827,519639,534373,564330,569072,569082,571486,595548,601098,620475,634579,638781,638800,664865,682568,687025,702946,720595,724910,725289,740486,754984,760228,762181,786733,788578,789012,796141,805933,811394,818896,827643,832064,832371,853183,863743,872422,876822,892485,895419,895869,910677,917700,921361,923925,939855,943293,943942,954969,957308,958920,959557,960231,962073,962159,976252,984927,993334,1003745,1011912,1019281,1019433,1028910,1038923,1040542,1051418,1060705,1063049,1063569,733270.0
Fatehpur,548663,549126,584518,588757,607498,620260,621391,621391,642248,648325,654206,665987,676208,678871,679010,708868,719308,734115,744236,766394,768585,769163,774894,791098,802365,806933,846857,851966,852223,886184,920866,934390,963620,975625,982323,982559,1027699,1059382,1073654,1097144,1123062,1135073,1136021,1161101,1176369,1180727,1188300,1231956,1240756,1241597,1261594,1273635,1281890,1301654,1310870,1318447,1319273,1354876,1373535,1385174,1395467,1421968,1426448,1426537,1443172,1453746,1457449,1463106,1482949,1487579,1487781,1501037,1507863,1510922,1512963,1513088,1516057,1516152,1540782,1551353,1563688,1577076,1591220,1599744,1600144,1613993,1629106,1635411,1643989,1652782,1656213,1656434,1144120.0
Firozabad,495925,502994,532736,542612,553293,564516,570998,571388,583108,596325,605055,614612,624797,627611,627630,647980,659034,663243,677410,684042,686899,687778,692964,699585,713042,726269,745662,750966,751646,756380,765364,771104,778556,785741,789360,789452,796754,803178,808740,815189,828863,832227,832377,841742,850901,855329,860153,870744,873042,873143,881407,890137,893302,902151,910830,915263,915964,927209,940222,946537,957049,968580,972061,973412,989160,1008764,1013846,1028427,1044776,1049521,1050796,1065121,1078845,1083059,1091584,1092658,1097853,1110886,1131695,1150070,1165527,1184652,1202134,1215386,1219009,1238341,1258994,1272552,1288019,1308043,1324589,1333575,876853.0
Gautam Buddha Nagar,1600201,1612162,1659189,1675293,1686539,1704572,1720227,1724999,1737297,1746062,1755271,1764267,1777564,1794333,1797000,1826208,1840784,1854011,1874285,1887569,1901902,1903402,1913453,1927680,1941737,1957971,1999582,2021081,2027983,2042188,2054705,2067629,2082381,2100528,2120394,2125605,2151687,2164395,2174624,2189562,2209440,2226686,2230662,2244670,2259840,2265298,2270191,2307765,2314862,2318352,2330148,2341678,2351143,2361422,2369835,2387113,2390484,2422512,2434683,2445401,2464228,2486965,2497314,2499397,2509501,2526016,2533558,2542873,2559797,2570644,2572617,2591050,2601088,2609210,2617011,2624596,2632872,2634338,2653945,2661436,2669268,2682959,2699242,2707936,2708896,2726851,2734560,2741849,2748626,2765787,2773165,2774081,2244676.0
Ghaziabad,1463922,1472567,1553087,1557194,1584164,1595152,1599429,1601223,1622714,1632636,1639497,1660102,1677652,1685214,1686264,1728312,1742262,1749688,1776756,1806088,1814085,1815367,1826743,1854907,1868732,1877247,1943940,1958811,1960947,1990152,2011962,2023748,2058456,2079961,2089887,2092220,2161364,2206598,2227550,2256171,2280571,2289970,2291770,2327180,2349408,2357506,2368810,2451798,2459705,2461070,2507513,2522389,2541476,2569611,2592364,2608137,2609150,2719214,2745535,2761004,2783755,2827779,2835439,2836337,2869050,2891578,2903909,2918047,2948720,2964617,2965261,3001275,3015375,3024829,3030910,3033144,3045503,3046083,3083233,3099803,3117548,3155125,3177362,3198783,3199418,3223806,3243325,3258654,3273516,3292971,3310919,3318947,2398500.0
