District,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,Mean Vaccination
Nashik,627417,627957,630271,631884,636032,650359,657862,669117,669144,673910,684771,687695,694202,695961,703456,703506,709341,711745,714275,724063,726139,727379,727377,737624,743238,743852,758229,766369,777773,778059,786652,790849,794459,797038,812748,823818,824264,829211,833171,846716,855436,861320,872352,872398,880016,888339,893191,897249,903273,918609,919424,937485,962549,990052,1012307,1275743,1317226,1320242,1348784,1364719,1376721,1385052,1395677,1434369,1436818,1453562,1464978,1503900,1518608,1527856,1538102,1539742,1573660,1584972,1613219,1621975,1661079,1672132,1673714,1700784,1705436,1708372,1715735,1743433,1754019,1755429,1781025,1815135,1829970,1837724,1884895,1902940,1103583.0
Osmanabad,137016,137018,138031,138888,139674,140590,141939,143993,144088,146886,150202,160544,160495,160396,160306,160304,160297,179936,180127,180124,187737,187810,187810,196600,205553,205547,205536,216365,216449,216448,221379,221524,222006,222028,222240,231851,231974,235161,235355,235367,235355,239307,239350,239348,246665,246838,246950,249259,249817,251654,251806,259246,261994,276988,277269,341074,341811,341811,351150,354171,356951,358350,361912,374505,374505,375914,378224,379660,388486,389219,391834,391834,393758,403976,410071,411331,414154,423487,423487,425555,428665,428665,429210,437426,439658,439658,445127,446764,447560,456936,458743,460166,282753.0
Palghar,190106,190040,191715,192857,194135,206070,215621,221884,221960,225181,238249,245792,252351,253994,255194,255195,255189,255188,255184,255289,257819,259514,259839,260882,262778,263761,265454,267795,270154,270440,274140,282291,291330,301140,312047,323202,325336,333889,338644,346291,350417,353557,358566,358578,362653,367819,370574,372025,373146,382033,382303,387596,399810,409684,418490,512013,524375,525276,535085,543299,547906,553262,555264,567354,567940,575454,580074,591018,595699,596732,598779,599278,605250,609863,613905,616631,622601,629282,630058,631353,637552,638932,641618,646926,652414,653299,657866,667488,673305,677646,686470,700854,417906.0
Parbhani,149120,150111,151340,152555,153723,162186,167456,172063,172269,176085,181172,185434,188794,191012,193350,194053,196631,198044,199112,199938,201452,202448,202672,206862,209425,211483,215047,216258,218894,218930,221361,222983,225189,227161,229348,231063,231057,233326,234867,236502,237542,238251,239288,239350,240337,241019,241963,242881,243426,246110,246159,250456,256298,265809,273361,352431,362487,362829,376620,386197,390999,395783,398420,403918,407769,419853,427520,435049,445515,451122,455948,455949,463760,467469,473746,476256,479971,486605,486619,491518,493163,493331,494551,498144,505203,505764,512792,517071,519616,521385,526313,532154,309857.0
Pune,1943551,1945800,1948942,1951608,1979510,1991739,2007998,2013643,2018202,2033689,2040855,2060792,2065972,2067952,2070187,2071868,2072164,2072823,2079485,2083957,2086537,2092162,2103522,2118088,2127656,2146984,2169241,2197860,2224979,2245569,2280558,2320272,2363914,2414439,2467448,2516880,2532799,2572219,2609501,2646331,2679516,2722455,2762632,2776738,2814035,2851436,2893318,2931406,2984729,3047847,3070185,3116962,3175586,3258003,3324926,4202546,4320305,4348466,4451313,4514779,4572960,4609014,4699523,4804564,4834833,4864284,4953329,5000424,5037719,5076375,5198197,5212560,5252013,5296343,5376126,5454740,5521231,5612210,5637262,5664461,5686928,5704630,5765379,5813840,5889186,5912418,5977928,6035702,6067405,6163335,6236964,6294029,3556856.0
Raigad,217181,218020,219163,220150,220873,228404,237098,245679,250864,256049,267317,272456,274594,276423,284071,287274,287539,291724,297711,303392,310862,316632,321492,332129,339468,343428,347226,357660,368286,370242,377202,382539,388358,392952,403236,415351,417346,424038,427652,434288,441999,446442,452452,456287,464131,469157,472316,475548,477541,481563,485452,492858,498719,506255,511528,608847,624451,625695,631076,633384,639569,660505,670555,682046,683335,688346,691923,710713,712990,718217,726439,733291,739666,742554,753675,756155,766197,773045,775516,781122,782551,784146,787495,794928,799988,804847,812852,824522,828288,831420,849009,864757,511443.0
Ratnagiri,134310,135158,136086,137049,137829,141321,153295,154488,155345,163012,173389,173673,179267,179411,179437,179432,179419,179408,179462,179446,182313,184043,184204,190317,190464,200513,201489,201771,214131,216679,217453,229624,230825,231439,231602,246058,250802,252125,252810,253280,253570,261997,263542,266481,271192,271837,276050,276611,277810,279390,280681,285501,286186,290927,292404,371109,376528,376925,378700,380223,381371,381973,382133,391511,394555,404651,417785,425811,437538,442111,443212,443530,450943,456565,459191,459412,459787,472076,474176,475552,476130,476218,479932,480322,480527,480527,480926,481330,481418,481451,481517,493883,304760.0
Sangli,511753,512855,513969,514944,519001,527936,531885,533571,533707,542626,546848,552555,558210,559440,559886,560189,560296,560392,560588,561858,563709,564759,566317,579648,581919,583990,599345,602110,606508,608914,611665,613653,614209,614544,624322,628696,629055,630404,632101,635748,637189,637864,641811,642241,644374,646499,647567,648109,648939,653919,655380,658431,669524,672066,673021,826535,828902,834401,841034,841855,842592,863946,902450,925222,926892,930017,951429,957853,958741,959274,978845,982246,984187,997834,1015679,1041559,1055627,1058722,1068623,1082320,1083463,1084268,1102100,1107153,1108741,1109308,1110049,1141605,1164067,1192361,1222747,1244299,761065.0
Satara,541813,542847,543897,544913,550700,556429,557755,559626,561714,572138,575046,583410,586739,588374,590818,591524,591884,592213,592454,597934,598704,598809,598851,606435,611805,612575,625740,627396,634692,635084,635701,639818,640740,641245,657874,661848,662581,663608,664402,670944,673716,677115,686891,687466,688463,689299,696096,697951,698644,708057,708431,709820,718681,721589,723494,869880,887286,888749,892475,895670,897717,919384,933076,971603,976948,980526,986306,1009649,1013259,1016612,1018271,1037472,1042230,1045400,1065153,1068870,1098747,1106485,1122885,1127476,1131916,1135936,1140347,1159971,1167287,1181182,1190784,1220984,1231897,1236918,1277277,1302428,802672.0
Sindhudurg,95887,95885,95920,96631,97458,101114,109221,111000,110994,112446,113396,122736,134257,134829,134860,134860,134857,134853,134905,136163,136766,137126,137137,145543,147303,147299,149193,159376,161923,161921,161913,166121,166677,166674,179226,181100,181099,181060,181693,181735,181742,181703,181692,181691,186475,186502,189229,189235,190210,190286,190284,190267,190252,197771,199831,253306,255337,255337,263906,268371,272950,273880,278512,287363,287363,293376,294287,302927,303054,304693,304693,304693,309971,311662,315641,315650,326840,326872,327031,328244,333181,333181,333242,333242,333242,333242,333375,341690,341802,341894,348659,356181,215535.0
Solapur,281374,282280,283563,284615,299907,313517,319996,326180,332138,340184,351484,357250,363670,368752,378105,378922,380480,381114,381308,384510,385554,391508,392258,396549,405889,415349,430651,436028,447086,450228,456945,460080,461103,465423,475893,484648,486590,491943,494312,502206,507788,510320,515877,517039,522178,525685,528222,530392,532688,541331,544481,548728,557797,570837,572173,701665,703354,704054,704801,706112,707103,728034,734962,739400,740340,741070,749756,771920,774680,775371,798814,799328,800251,800558,817005,841667,844296,855229,857911,858809,859053,859694,872506,874752,881404,885820,892133,914816,918930,954706,971813,983542,585552.0
Thane,1062568,1065852,1071188,1075387,1088008,1103456,1122096,1131160,1133418,1142444,1149918,1156438,1165607,1172430,1178408,1179382,1181037,1182304,1189323,1204972,1217100,1223956,1225646,1246950,1259567,1264916,1282826,1303688,1323928,1329510,1348479,1366707,1383836,1399026,1424583,1448448,1456581,1480973,1501371,1519170,1531237,1545263,1561584,1571458,1601869,1628675,1648628,1667150,1684945,1724526,1739921,1780876,1837016,1875391,1907269,2379527,2422729,2435463,2501114,2534054,2560085,2580565,2599950,2659681,2670490,2685923,2710186,2765997,2786210,2805849,2833734,2847819,2904551,2921728,2960848,2978430,3038878,3073555,3085387,3120111,3131817,3143581,3155213,3173597,3216358,3231731,3274477,3326280,3348732,3374189,3440049,3504729,1991870.0
Wardha,189088,190441,192762,195080,196720,197608,200141,201535,202872,203701,204221,204251,204240,204655,207515,208676,210031,212548,214462,216171,217992,219459,219693,220478,221746,222281,224013,225690,227648,228021,229789,231460,233400,235482,237224,239381,240113,241901,243508,245277,246903,248548,250353,251126,252980,254896,257104,258993,261351,263661,267427,272186,277772,287203,292123,365054,369346,373541,382684,386104,387585,388776,388880,389057,390540,396004,399211,399394,411363,411364,411364,411364,424818,424819,426519,436463,436463,456186,456434,456454,456454,467473,467475,467475,481742,481891,493751,493751,493751,493751,513363,514477,310968.0
Washim,140626,141420,142232,142804,143264,145624,147073,148294,149530,150819,153254,154321,155689,156139,158955,161213,162973,164491,165739,166915,167888,168363,168857,169451,172300,174308,176917,179209,180939,182110,183310,185159,186992,188293,190221,193427,195112,197148,199747,202255,204380,206508,208849,210175,211780,214177,216633,219509,222544,226503,229369,232823,238008,241279,242499,318043,325722,329469,331629,333727,334986,343818,350991,364142,372359,380615,386911,394156,399085,401613,403683,408573,413809,416456,423665,425093,431299,435231,437916,442657,444664,445666,446936,453152,456123,457119,463216,468652,473156,476537,481854,486858,273891.0
Yavatmal,215712,216798,218913,220786,222776,235494,244640,250610,254638,257278,272561,278306,279656,280338,284298,286176,290664,292859,294303,297879,299128,302172,305420,310468,316100,317887,321279,326933,333507,337271,343555,348726,352146,354026,361368,366973,368279,370985,372790,374915,378904,382265,385097,385723,387553,391596,395163,398346,401001,404125,405177,408483,420172,433252,440175,546508,563453,564754,565807,569262,571339,572655,576670,616983,627788,635276,640310,653825,656475,657036,657409,666965,675211,676427,684643,690505,707601,711991,718387,725603,727017,727445,727852,738030,741979,743116,754850,767330,771888,774442,778196,795223,467129.0
Bishnupur,13759,13759,14959,16175,17363,18538,19569,20619,20619,21583,22486,23370,24152,24953,25813,25813,26719,27321,27965,28391,28780,28991,28991,29230,29508,30325,30382,30557,32144,32144,32331,32954,33153,33193,33279,34912,34912,35074,35113,36431,36481,36868,36868,36868,37052,37785,38096,38138,38584,38876,38875,39373,39591,39931,40108,45211,45826,45826,47026,47701,49935,50711,53520,55756,57239,60289,61797,65171,67148,67773,67937,68299,69747,72333,75933,78699,82885,86257,87380,91136,94620,96959,99621,103539,107694,108202,111471,114502,117683,119734,122488,124679,49702.0
Chandel,7544,7544,7710,8022,8171,8311,8435,8483,8483,8543,8614,8680,8710,8857,8885,8885,8992,9028,9306,9314,9320,9323,9323,9329,9341,9730,9732,9733,10137,10137,10163,10174,10518,10520,10522,10902,10902,11215,11265,11679,11683,11781,11822,11883,11984,12001,12154,12282,12448,12485,12485,12540,12553,12667,12765,16972,17181,17181,17306,17553,17845,18253,18733,19127,19248,19771,20320,20948,21332,21767,22423,22900,23619,24328,25074,25432,25706,26007,26091,26266,26619,26926,27201,27491,28089,28408,28638,28996,29281,29444,29688,29950,15545.0
Churachandpur,21089,21111,21777,22682,23411,24351,24511,25065,25065,25828,26215,26498,26729,26959,27122,27122,27754,27890,28691,28945,30256,30647,30647,31787,32031,32145,32190,32251,32300,32300,32387,32821,33027,33293,35106,36830,36830,38309,39840,41135,42793,43977,44341,44340,44838,45521,46133,46486,46983,47606,47606,48097,48612,48893,49665,56919,57204,57680,59025,60081,61547,62597,63823,65606,66676,68494,69946,71327,72176,73987,74857,75924,76821,77794,79108,81352,82359,84182,85486,87578,89980,92334,94657,96636,99077,104469,105946,107569,109259,110598,111524,112558,53130.0
Imphal East,46570,46850,50494,53125,56390,58593,59326,61800,61945,64880,67362,69849,71979,73791,75391,75393,77133,78146,79930,80563,81878,82523,82524,83989,84647,85749,86290,86663,87357,87358,88119,88543,89919,90139,92021,94133,94185,96307,98220,99610,101145,103046,103119,103119,104510,105325,106465,107093,107966,108527,108666,111075,112204,113948,115198,131234,131876,132135,135704,139404,142324,145798,150501,154137,154844,161090,166874,173434,179394,180622,181529,181546,182330,191945,201561,208175,214841,220120,220301,223777,229523,232568,238495,245766,253895,254601,260752,264596,269393,272301,275810,278160,131331.0
Imphal West,47137,47509,50522,52520,55375,58027,61308,62251,62251,64506,65970,68528,69914,71438,74222,74446,77108,78741,80666,82291,84454,86165,86166,88280,89646,92918,94349,96270,98329,98330,101554,103441,105091,106244,108131,109672,109672,113594,114956,117383,118123,120409,120587,120587,122739,123863,125311,125669,126942,128254,128254,129489,130260,131598,132296,151996,155060,155165,160097,163993,169166,173927,181182,188371,188374,197259,203216,211546,218313,220910,221490,221490,221559,230280,240020,246852,255062,262486,262494,268642,275169,279925,286005,293596,299491,299491,306606,310138,316175,319644,324582,329480,152207.0
Jiribam,3665,3808,3890,3909,3971,3999,4016,4030,4030,4044,4054,4062,4064,4064,4069,4069,4239,4261,4425,4453,4616,4863,4863,4979,5005,5189,5371,5631,5631,5631,5730,5828,6129,6233,6399,6764,6817,6906,6944,7052,7179,7237,7346,7422,7425,7449,7487,7592,7733,8014,8014,8035,8072,8202,8836,11034,11423,11590,11858,12340,12595,12829,13239,13592,14183,14769,15278,15868,16625,16982,17665,17665,18198,18366,18911,19383,19880,20496,21054,21465,21710,21931,22468,22899,23381,24027,24630,25039,25328,25780,26189,26326,10878.0
Kakching,8553,9984,11037,11589,12038,12318,12428,12974,12986,13771,14366,14835,15275,15635,15953,15953,16411,16970,17484,17829,18108,18242,18242,18700,18798,19717,19897,21112,21742,21750,22320,22624,23075,23255,24504,24617,24617,25131,25169,26591,26759,27675,27805,27805,27869,28132,28904,28967,29244,29457,29458,30185,30570,31548,32165,35527,35707,35707,36172,37607,38688,40143,41778,43559,43660,45352,47349,49256,51091,51714,52686,52751,54821,56007,58917,60610,62159,63899,63994,66121,67326,68879,70212,72091,73827,73827,76016,77378,78888,80142,80954,82074,35653.0
Kamjong,1971,1972,2044,2054,2077,2101,2124,2130,2130,2161,2166,2178,2186,2201,2217,2216,2230,2230,2598,2682,3011,3100,3106,3190,3233,3618,3651,3651,3678,3678,3694,3694,3745,3746,3746,3746,3746,3871,3978,4019,4019,4019,4017,4017,4032,4033,4103,4102,4102,4102,4102,4173,4177,4266,4319,4889,4989,5012,5031,5161,5374,5396,5399,5539,5806,5930,6052,6255,6489,6546,6705,6973,7080,7247,7290,7301,7478,7711,8055,8489,8780,9175,9319,9476,9641,9862,9951,10141,10264,10304,10407,10434,4925.0
Kangpokpi,6096,6232,6764,7084,7407,7574,7696,7749,7747,7866,7988,8060,8108,8211,8319,8319,8537,8656,8864,8928,9090,9117,9117,9166,9185,9660,9676,9915,10080,10080,10405,10514,10840,10865,10999,11088,11087,11295,11402,11911,11977,12091,12473,12542,12707,13070,13689,13722,13799,13902,13902,14164,14692,14994,15068,17703,17862,17864,18254,18754,19162,19542,20041,20589,21234,22015,23233,23929,24760,25714,26276,26654,27327,27764,28500,28991,29473,29868,30398,30995,31992,32796,33728,34660,35467,35936,36950,37692,38177,38849,39268,39478,17352.0
Noney,4069,4069,4243,4387,4440,4491,4523,4618,4618,4656,4680,4730,4764,4800,4851,4851,4969,4989,5187,5231,5231,5231,5231,5231,5239,5553,5556,5557,5567,5567,5567,5567,5808,5958,6168,6317,6317,6538,6667,6801,6814,6831,7046,7093,7217,7227,7276,7286,7326,7363,7363,7401,7435,7447,7467,9519,9567,9705,9898,10012,10194,10306,10591,10681,10936,11119,11363,11643,11857,12182,12468,12693,13123,13774,14007,14107,14218,14323,14723,15129,15547,16062,16494,17055,17450,17571,18056,18196,18467,18637,18770,19000,8988.0
Pherzawl,2547,2547,2601,2617,2614,2754,2802,2813,2813,2849,2862,2877,2879,2878,2877,2887,3053,3071,3280,3280,3290,3290,3290,3627,3713,3883,3883,3997,4205,4205,4220,4352,4493,4825,4999,5039,5042,5078,5118,5195,5195,5194,5318,5542,5594,5626,5635,5635,5682,5750,5750,5791,5790,5844,5845,6664,6790,6934,7013,7099,7238,7429,7502,7559,7588,7691,7975,8099,8342,8667,8727,8780,8938,9106,9305,9611,9744,9770,9776,10011,10363,10701,10887,11092,11314,11499,11682,11858,11979,12098,12185,12363,6209.0
Senapati,4432,4450,4563,4680,4797,4884,4969,4967,4991,5117,5158,5198,5270,5299,5299,5321,5460,5501,5587,5635,5674,5674,5677,5785,5809,6381,6451,6484,6484,6484,6574,6615,7297,7320,7776,7775,7775,7850,8244,8855,9037,9204,9362,9381,9627,9680,9839,9916,10062,10140,10361,10413,10455,10558,10614,13334,13385,14110,14367,14453,14594,14772,14919,15100,15955,16454,16926,17574,18381,18694,19229,20208,20551,21051,21539,22068,22378,22833,24131,24457,24803,25194,25437,25688,25975,26570,26798,27215,27485,27636,27945,28166,12582.0
Tamenglong,4355,4355,4551,4673,4893,4986,5105,5112,5111,5335,5412,5490,5500,5516,5561,5561,5674,5763,5936,5976,6032,6047,6047,6118,6136,6472,6497,6510,6518,6518,6825,6832,7053,7062,7071,7070,7070,7216,7319,7556,7640,7696,7696,7696,7740,7760,7810,7976,8123,8219,8219,8348,8455,8534,8670,10633,10672,10887,11053,11153,11629,11989,12235,12542,12990,13521,13628,14151,14210,14343,14353,14353,14763,14944,15144,15332,15637,15769,15907,16314,16530,16794,17370,17664,18180,18598,19212,19373,19577,19754,19869,19964,10005.0
Tengnoupal,4561,4597,4864,4918,5081,5118,5282,5448,5448,5572,5707,5769,5792,5877,5994,5994,6126,6167,6277,6277,6302,6315,6315,6773,6893,7229,7227,7341,7639,7646,7968,7965,8132,8131,8150,8336,8336,8436,8449,8577,8678,8725,8780,8814,8878,8922,8963,9018,9056,9067,9116,9158,9171,9417,9614,12732,12924,13331,13539,13975,14277,14647,15027,15362,15863,16388,16814,17458,17858,18280,18515,19008,19350,19631,19991,20371,20726,21205,21806,21980,22295,22578,22882,23093,23449,23880,24480,24932,25292,25421,25621,25937,12167.0
Thoubal,21035,21290,23400,24736,26256,27189,28619,29748,29746,30970,31832,32718,33235,33427,34079,34134,35049,35496,36193,36324,36539,36788,36788,37084,37260,39227,39539,39738,40011,40128,40605,40630,41391,41396,43712,44335,44335,46659,47724,48342,48438,48711,49214,49214,49535,49878,50260,50280,50506,50799,50799,51188,51337,51713,52051,59055,60204,60423,61727,64449,67079,69992,72915,77495,79787,84203,89668,94390,97547,100352,100352,100352,105720,110420,114480,118887,121351,124297,124297,126482,128053,130210,132263,135116,139299,139874,143941,145658,148707,150564,151476,153411,67023.0
Ukhrul,4881,4960,5129,5198,5474,5634,5726,5805,5818,6042,6265,6413,6467,6503,6620,6621,6789,6870,7143,7189,7361,7396,7396,7594,7607,8000,8156,8460,8867,8926,9031,9258,9601,9658,9826,9952,9952,10120,10127,10233,10241,10304,10311,10311,10373,10385,10411,10471,10491,10491,10595,10672,10674,10693,10720,13046,13110,13123,13329,13472,13600,13835,14139,14552,14826,15078,15252,15411,15601,15771,15924,16293,16430,16592,17164,17308,17647,17846,18035,18544,18814,19187,19614,20012,20259,20501,20774,21114,21313,21476,21602,21731,11832.0
East Garo Hills,10492,10492,11182,11369,11574,11779,11892,12002,12002,12394,12668,12971,13329,13667,13954,14043,14302,14486,14673,14857,15055,15217,15307,15487,15622,15787,16052,16217,16295,16295,16339,16348,16512,16594,16644,16644,16644,16655,16712,16723,16747,16773,16840,16840,17066,17329,17529,17720,17858,18005,18005,18232,18469,18818,19255,24243,24715,24825,25354,25685,25795,26166,26486,26759,26830,27206,27509,27946,28574,29003,29119,29176,29596,29827,30205,30581,31145,31586,31586,32055,32721,33268,34014,34693,35450,35450,36398,37135,38005,38859,39317,39926,21521.0
East Jaintia Hills,12178,12178,12384,12715,12898,13193,13473,13665,13665,13889,14353,14862,15315,15855,16418,16518,16876,17467,17607,18053,18363,18613,18713,18975,19465,19475,19756,20061,20361,20361,20381,20431,20441,20489,20539,20549,20549,20589,20649,20679,20698,21288,21528,21528,21968,22519,22880,23555,24108,24492,24492,24672,25367,25498,26205,29346,29766,29766,30135,30616,30696,31286,31837,31897,31897,32387,33789,33999,35446,36456,36506,36506,37355,39130,39597,41260,42331,42961,42961,44288,46298,46808,48878,50256,51356,51375,52555,53814,54241,55626,56536,57352,27729.0
East Khasi Hills,71411,71672,73557,75704,77576,79573,82041,83117,83147,85716,87969,90458,93455,95795,96986,97709,99918,101392,102601,104031,106268,107372,108142,109597,111096,112410,113892,115404,116170,116442,116872,117170,117531,117926,118455,119431,119439,119754,120041,120373,121019,126304,132184,133542,141419,148471,156148,166039,173917,179698,180600,186599,191339,195498,199237,227329,230455,230656,235457,238565,241861,245905,250144,252771,253337,257207,261747,264983,268382,272112,274623,274930,278671,281877,285183,289265,293860,296999,297169,301529,305960,309696,313839,318767,321457,321540,325045,328272,331656,334800,338192,340605,184614.0
North Garo Hills,11081,11081,11178,11464,11601,11971,12151,12151,12151,12307,12604,12723,12978,13177,13360,13460,13547,13728,13779,13930,14136,14136,14136,14354,14572,14581,14812,14822,14822,14822,14829,14872,14891,14927,14932,14946,14946,14958,15002,15002,15001,15237,15237,15237,15344,15533,15733,16045,16237,16295,16295,16441,16717,17401,17661,21636,21789,21789,22340,23072,23530,24414,24935,25211,25211,26077,26987,27985,28684,29551,30094,30094,30786,31667,32978,34124,34880,35732,35741,36964,38081,39439,41048,42353,43748,43748,45228,46666,47866,49310,50301,51446,22074.0
Ribhoi,16982,17005,17529,17862,18095,18599,18901,19060,19073,19846,20452,21276,22499,23250,23692,23692,24517,25149,25795,26396,26975,27625,27794,28566,29352,30020,30807,31233,31627,31650,31751,32150,32324,32612,32714,32840,32840,33112,33272,33452,33813,34515,35451,35451,36289,37323,38219,39150,39867,40706,40766,41504,42268,43190,44210,49491,50241,50462,51513,53015,54079,54997,56170,57499,57610,58815,60275,61054,62218,63237,64217,64287,65113,66680,67629,69222,70124,71400,71548,72455,73664,74871,76784,78247,79115,79214,80677,81793,83020,84295,85110,85973,44687.0
South Garo Hills,9586,9587,9927,10171,10530,10716,10821,10988,10988,11163,11470,11691,12003,12228,12535,12616,12959,13206,13499,13778,13933,14056,14056,14234,14549,14639,14790,14975,15070,15070,15125,15239,15281,15330,15424,15453,15453,15545,15580,15596,15673,15733,15862,15868,16110,16450,16669,17035,17451,17642,17642,17944,18147,18330,18575,22439,22439,22450,22726,22990,23060,23172,23359,23506,23614,23808,24172,24458,24767,24929,25184,25227,25577,25951,26406,26763,27230,27629,27650,28089,28719,29162,29776,30808,31460,31536,32113,32919,33596,34406,34859,35154,19425.0
South West Garo Hills,15352,15352,16391,16599,17248,17446,17753,17790,17790,18696,18875,19715,19801,20381,20581,20684,21397,21629,22030,22305,22721,22950,22950,23236,23399,23642,23836,23965,24058,24058,24083,24291,24363,24439,24469,24506,24506,24554,24594,24659,24706,24869,25104,25104,25633,25975,26490,26969,27598,27745,27744,28474,29145,31504,31863,37309,37397,37397,38258,38838,40123,41026,42272,43054,43089,44391,45136,46470,47642,48916,49496,49496,50531,51972,53310,54442,55751,56200,56200,57449,58349,59221,59872,61349,62224,62224,64157,65242,66380,67146,68051,68431,34726.0
South West Khasi Hills,5381,5381,5517,5631,5734,6057,6270,6636,6637,6832,7039,7260,7509,7617,7837,8930,9374,9542,9890,10190,10453,10880,10957,11269,11578,11866,12375,12780,13313,13551,14021,14486,14994,15186,15883,16159,16159,16190,16212,16298,16298,16383,16779,16803,16892,17138,17450,17691,18041,18447,18447,18565,18947,19004,19154,20817,21017,21017,21179,21343,21579,21851,22010,22237,22237,22415,22819,23074,23349,23489,24011,24011,24402,24816,25245,25752,26321,26756,26756,27140,27513,28155,28521,29047,29535,29535,30150,30461,30473,30750,30849,31629,17698.0
West Garo Hills,45218,45241,46923,48292,49350,50658,52143,53346,53360,54715,56592,58069,59464,60982,62178,62522,63396,64244,64442,64993,65552,66033,66033,66544,67057,67248,67744,68268,68767,68767,68840,69009,69079,69193,69641,70049,70048,70110,70218,70355,70446,71434,72485,72654,74769,77365,79850,83267,86424,89919,90020,93617,97183,100234,103585,123913,126635,126840,130890,134385,135327,138883,141026,144499,144560,146988,150350,152946,155988,157624,159592,159695,162955,166088,169100,172098,174886,177348,177443,181376,184999,187579,191201,193757,196722,196783,199508,202809,205288,207980,210389,212604,108141.0
West Jaintia Hills,18925,18925,19703,20436,20821,22286,23484,23693,23693,24873,26567,27166,28256,28739,28919,29101,29346,29591,29591,29840,30384,30658,30658,31184,31772,31876,32290,32710,32919,32919,33073,33309,33362,33656,33894,33894,33894,34049,34160,34166,34273,34922,34922,34922,35566,36333,36956,37737,38462,38521,38521,39153,40011,40093,40907,46986,47037,47037,47766,48620,49203,50191,51021,51067,51067,52807,54920,55915,57869,58950,59456,59456,61168,63253,64517,66260,68345,68543,68553,70499,73035,74299,76407,78666,79299,79324,80692,82582,83397,84866,86394,87162,44638.0
West Khasi Hills,20874,20926,21253,21554,21652,22011,22593,22933,22952,24082,26048,27903,28833,29885,30302,30407,30657,30994,31253,31512,31762,32677,32677,33050,33608,33959,34476,35152,35926,35965,36036,36242,36405,37098,37557,37810,37810,38245,38322,38326,39301,40176,40534,40534,41042,41522,42027,42788,43137,43365,43365,43758,44153,44497,45132,51629,52051,52052,53073,53509,53960,54332,54760,54904,54904,55296,55891,56375,57044,57562,57695,57695,58146,58706,59289,60334,61417,61995,62014,63134,64262,65547,67282,69129,69956,69956,71488,72801,73820,75120,76030,76418,44963.0
Aizawl,59920,59920,61423,62361,62594,63560,63909,63939,63967,64768,65134,65628,65911,65953,65954,65954,66247,66930,68365,69428,70282,70283,70283,71082,71281,71343,71771,72721,73429,73429,73766,73917,74134,74493,75373,75945,75945,76794,77644,78480,79522,80305,80949,80949,88123,95429,100624,104165,104928,104998,104998,106914,117627,127254,133238,152784,154343,154343,156408,158096,159122,161098,163749,164464,164464,167061,170070,175193,181268,185616,186222,186222,190268,194605,198426,202021,206106,206915,206915,212386,216919,217598,221097,222589,222956,222956,224722,226061,227921,229070,230084,230239,124181.0
Aizawl,39758,39758,40457,41256,42074,43023,43367,43365,43365,43341,43440,43468,43517,43515,43600,43600,43744,44481,44857,45666,45916,45917,45917,46152,46513,46619,47072,48337,49141,49141,49899,49987,50203,50200,51013,51308,51309,52113,52843,53522,54261,55028,55028,55028,57074,62951,70704,74545,78430,80135,80135,85008,89475,92997,96095,106768,107249,107249,109864,112166,112875,114009,115261,115368,115368,117286,118917,120966,123987,128105,128124,128124,130707,134363,138186,140962,143678,143863,143863,146974,149838,152531,154059,154127,154443,154444,155354,157025,157843,159308,160130,160897,85912.0
Champhai,20786,20786,22002,22898,24711,25841,26443,26572,26572,27040,27038,27038,27174,27174,27174,27174,27781,27920,28056,28365,28365,28365,28365,28364,28484,28492,28502,28532,28532,28532,28532,28532,28532,28733,28733,28733,28733,29152,29549,29569,30141,30710,30725,30725,30725,30725,31545,33207,34310,35397,35397,37087,40442,42218,45902,53499,55056,55056,55056,56111,56765,58637,58637,58637,58637,59773,59773,61057,64321,66207,66655,66655,66816,67262,67780,68521,69314,69507,69507,70793,73186,73306,76426,79361,79445,79445,80429,83071,85199,86616,88185,88950,45052.0
