District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Ghaziabad,29097,29105,29105,29686,30349,30602,30930,31074,31408,31480,33278,35947,37565,37565,39069,43632,43634,37910,44699,44699,44699,44706,44706,44715,44715,44040,44040,44041,44041,44274,44335,45565,48015,49154,49353,52465,53921,55158,55738,59912,61298,61651,65900,65949,69798,74367,78528,80564,80969,84784,86426,87701,90982,93802,94971,95025,95025,96718,98239,122522,131340,137739,142315,149333,155270,164918,173958,179901,180436,188932,200442,209615,219662,226123,233442,240458,240531,244972,250022,254492,258589,260831,266350,266132,270466,273297,275037,278666,282385,108981.0
Ghazipur,14202,14202,14202,14307,14410,17149,17319,17319,17319,17358,18202,19047,19384,19384,21816,23112,23112,20260,23822,23822,23822,23822,23927,23927,23927,23927,23927,23928,23928,23991,23991,24337,25083,25170,25174,29119,29969,30195,30215,35544,36235,36236,42487,42756,45575,51499,57426,59295,59400,64775,66589,67628,71744,75537,76365,76505,76505,76827,77528,73961,77200,79199,80049,82362,84954,89631,94109,97944,100210,101888,105421,107417,109732,112293,114265,115650,115688,117368,118217,118769,120109,121339,121929,121939,123188,124025,124510,124692,126214,59021.0
Gonda,16154,16154,16154,16427,16781,16795,18389,18393,18393,18393,20050,21080,21136,21136,23066,23279,23279,22928,23931,24094,24094,24094,24094,24094,24094,24066,24066,24066,24066,24257,24257,25226,26260,26418,26438,31049,31257,31397,31397,36958,37202,37221,42548,42651,46738,52358,57395,58839,58910,63511,65447,66800,70440,73664,74356,74364,74364,74844,75512,73679,78835,82078,83928,87704,92015,96671,101953,106544,107135,111021,116243,118852,122147,125328,127603,128267,128267,128263,128531,129833,131946,135030,137174,137183,139681,141515,143300,145810,148272,63030.0
Gorakhpur,27168,27169,27169,28355,30311,32763,33542,33815,33815,33950,35640,39489,40357,40357,42651,44150,44158,44448,46602,46603,46603,46608,46609,46612,46613,46611,46611,46611,46611,46863,47101,48080,49567,50081,50298,56771,58434,58978,59253,66968,67889,68160,76877,77050,81777,90659,99354,102542,103180,110794,113551,115313,121987,125203,126144,126187,126187,126762,127732,125836,131742,135563,137850,142939,149334,156231,162111,164902,166559,173233,185135,192837,200228,201787,206657,209435,209602,213017,216848,218911,221849,223802,227060,227373,232211,234157,236535,241878,245813,107002.0
Hamirpur,6532,6532,6532,6641,6825,7534,7534,7534,7534,7540,7921,8601,8601,8601,9080,9148,9148,8687,9273,9273,9273,9273,9273,9273,9273,9257,9257,9257,9257,9309,9309,9524,9888,9908,9908,10356,10375,10392,10392,11109,11140,11140,11781,11810,13124,14382,15741,16284,16285,17548,18213,18672,20050,21128,21447,21448,21448,21448,21698,21849,23566,25388,26762,29578,34521,41856,44967,45157,45157,49927,57362,60983,62013,65665,68895,70564,70677,72140,73277,74070,74965,75517,75874,75922,76190,76599,77007,77554,78063,27301.0
Hapur,7427,7427,7427,7727,8534,8573,8617,8653,8653,8660,9445,10041,10139,10139,11467,11755,11755,10589,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12314,12316,13143,14052,14317,14317,15333,15430,15499,15507,16553,16689,16755,17998,18000,18766,20300,21594,22058,22113,23234,23779,24134,25190,26207,26581,26581,26581,26875,27353,27333,30317,32256,33120,35175,37058,39850,42798,45239,46590,48430,52482,56335,60823,63459,65304,66713,66714,67826,69198,70422,71754,72902,73838,73834,74966,75693,76258,76689,77555,29449.0
Hardoi,17138,17138,17138,17301,18420,19475,19686,19695,19695,19695,20460,21378,21555,21555,22902,23094,23134,23326,23800,23800,23831,23859,23862,23864,23864,23864,23864,23864,23864,23992,23992,25220,27359,27508,27508,31487,31813,31980,31980,36558,36732,36732,41122,41189,42885,46652,50258,51307,51319,54382,56167,57046,59653,61781,62227,62227,62227,62227,62576,60032,62903,65066,66605,68981,73511,82316,91631,100119,100745,105150,112406,117658,120579,121703,124626,126526,126597,128733,130706,131702,132986,134201,135046,135044,136028,136723,137278,138103,138870,59391.0
Hathras,8154,8154,8154,8243,8400,9147,9452,9452,9452,9452,9496,9802,9909,9909,9995,10569,10569,10514,10785,10785,10788,10789,10789,10789,10789,10788,10788,10788,10788,10885,10921,11463,11980,12100,12110,13419,13501,13566,13574,15041,15112,15121,16881,16882,17595,21000,26008,27992,28038,33332,36717,37856,40519,43003,43359,43359,43359,43359,43503,44114,46038,48347,50577,53780,56183,58933,61525,64294,64625,67977,72785,76038,78567,78765,79939,81781,81823,83090,84443,85357,87078,88754,90071,90088,91294,91599,91761,92867,93942,36578.0
Jalaun,7987,7988,7988,8034,8159,9235,9319,9319,9319,9482,10555,11628,11941,11941,12408,13383,13383,12470,13741,13769,13769,13769,13769,13769,13769,13769,13769,13769,13769,14008,14016,15204,16443,16533,16533,17861,18015,18207,18207,19744,19901,19901,22087,22104,22826,24779,26799,27259,27262,29444,30016,30437,32051,33461,33672,33672,33672,33672,33887,34163,37860,40080,40823,43839,45880,50765,56117,60448,62061,64792,69566,72328,74739,77878,80673,82782,82829,84509,85583,86535,87368,88345,88906,88904,89247,89698,90235,90770,91291,35917.0
Jaunpur,17086,17086,17086,17312,17470,18394,20233,20433,20433,20433,21116,21737,21737,21737,22969,22989,23086,24189,24754,24754,24754,24754,24754,24754,24754,24678,24678,24678,24678,24890,24890,26312,28958,29128,29128,34239,34458,34748,34748,39975,40681,40688,47926,48087,57613,67468,76890,80818,80995,88977,93821,96741,104020,110398,112434,112521,112521,112521,112550,113442,120925,125738,127693,130578,135527,148867,159817,160567,160578,166845,174067,177954,181610,182506,185364,188394,188600,191029,193985,195646,196990,197929,199934,200204,202612,204513,205075,208176,211962,87795.0
Jhansi,16138,16138,16138,16307,16440,17028,17372,17372,17372,17374,18802,20506,20786,20786,21895,22300,22300,21217,22371,22692,22692,22692,22692,22692,22692,22252,22252,22252,22252,22486,22528,23405,24458,24816,24881,26331,26734,27040,27075,29471,29833,29876,32827,32827,34381,37223,39831,40537,40597,43575,44581,45121,47418,49009,49361,49379,49379,49389,49713,50856,54185,55321,55836,58852,60976,64273,68730,71366,72675,74993,80170,83450,86248,87759,90037,92057,92061,94745,96303,97265,98908,100018,101200,101206,102344,103068,103560,104546,105715,46816.0
Kannauj,8213,8213,8213,8430,8626,9076,9076,9076,9076,9081,10084,10583,10613,10613,11487,11598,11600,11947,12059,12110,12110,12110,12110,12110,12110,12110,12110,12110,12110,12201,12201,12530,13011,13060,13060,14449,14554,14612,14612,16294,16407,16407,18412,18426,19373,21254,23288,23791,23824,25750,26235,26693,27977,28948,29128,29128,29128,29128,29317,28652,30325,31302,31721,32886,33841,35818,38180,40570,41618,42843,46623,49690,53204,54974,56405,56919,56991,56998,57192,57479,58101,58599,58747,58750,58962,59063,59182,59321,59498,26814.0
Kanpur Dehat,9339,9340,9340,9452,9477,10324,10324,10324,10324,10383,10821,11229,11255,11255,11847,12299,12381,12217,12860,12860,12875,12875,12875,12875,12875,12875,12875,12875,12875,12937,12939,13243,13647,13664,13664,15149,15359,15680,15682,17876,18786,20532,23351,23528,26354,29510,32596,34285,35779,38389,40357,41988,45133,47005,47134,47134,47134,47134,47764,46962,50471,52766,54907,56942,59381,62421,64206,65908,66101,68567,73071,76174,79481,81218,82495,83487,83549,84345,85214,85688,86359,86881,87093,87093,87089,87488,87849,88189,88524,38620.0
Kanpur Nagar,31774,31779,31790,32456,34018,34891,34973,35473,35473,35755,37688,41356,41752,41752,44917,45889,45889,46469,50010,50064,50064,50064,50064,50075,50075,49065,49065,49065,49065,49364,49364,50426,52262,53147,53347,55476,56595,57835,58157,62170,63500,65472,72414,72605,81083,89672,96063,97837,98029,104448,105842,107380,112982,115435,115993,115993,115993,115993,116447,121996,124544,130348,135508,142798,148171,160516,165723,168164,169172,184135,200192,214476,219926,226606,233726,235708,235953,242722,246600,249028,252068,257716,260556,260654,264056,265589,269915,274945,277462,112709.0
Kasganj,6900,6900,6900,7690,7782,7782,7782,7782,7796,7796,8282,8810,8810,8810,9417,9417,9457,9557,10007,10007,10007,10007,10013,10013,10013,10013,10013,10013,10013,10192,10192,10584,11253,11318,11318,12553,12652,12726,12726,14079,14133,14133,15926,15927,17897,19804,21253,21871,21878,23842,24737,25906,27209,27978,28358,28358,28357,28357,28546,27822,29390,30157,30678,32677,35641,39839,41529,43145,43348,45230,48662,50733,53116,54310,55425,56221,56230,56849,57241,57672,58079,59050,59511,59510,59787,60068,60255,60500,60782,25902.0
Kaushambi,6689,6689,6689,6968,7309,7883,7883,7883,7883,7892,8466,9009,9010,9010,9529,9529,9529,9610,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,10076,10076,10479,10967,10987,10987,11935,11971,11984,11984,13368,14111,16628,20142,20158,21980,24383,26072,26572,26579,27584,27897,28107,28686,29148,29293,29293,29293,29293,29293,28566,28928,29197,29361,30554,32163,35976,41250,45938,48566,50882,54751,57672,59296,61366,62892,63667,63666,64252,64772,64993,65235,65505,65636,65636,65945,66205,66356,66429,66646,27848.0
Kushinagar,12262,12262,12262,12476,12799,14317,14364,14364,14364,14364,15082,15836,16009,16009,18323,18725,18725,19020,19280,19320,19320,19320,19320,19320,19320,19313,19313,19313,19313,19491,19494,20068,22804,22933,22933,26911,27136,27163,27163,31454,31539,31539,35793,35869,36882,40790,45058,46165,46179,50003,51221,52559,55973,59500,61265,61265,61265,61668,63100,64156,66952,69440,71489,75024,81356,88818,94801,98151,99052,102805,112759,116872,122068,124431,130643,133634,133845,135595,139361,141053,143929,147998,149730,149730,151476,151997,152017,152006,152013,58791.0
Lakhimpur Kheri,20023,20023,20023,20248,20498,22173,22275,22295,22295,22321,23296,24321,24379,24379,26196,26196,26202,27519,27525,27579,27579,27582,27582,27582,27583,27583,27583,27583,27583,27868,27870,31142,32896,33155,33155,37492,37771,37948,37948,40895,41114,41134,44553,44640,47306,51752,54366,55327,55368,59146,61062,62040,66271,69538,70378,70378,70378,70378,70959,63893,68687,71522,73429,75858,80726,88012,94799,101315,104351,108995,116731,123034,126804,128560,129679,130857,130925,131076,131735,132499,133622,134491,135016,135150,136016,136572,137204,137884,138685,63375.0
Lalitpur,5586,5586,5586,5646,5737,6466,6485,6485,6485,6491,6689,7386,7386,7386,8237,8237,8244,8646,8830,8844,8844,8844,8844,8844,8844,8812,8812,8812,8812,8986,8997,10458,12530,12640,12650,14358,14457,14548,14564,16109,16218,16229,17873,17877,19065,20624,21797,22099,22109,23639,24024,24316,25251,26402,26762,26778,26778,26810,27041,26536,28452,29813,30894,33739,36066,40056,44188,46416,47019,48297,51714,54958,57543,59490,60848,61258,61269,61331,61751,61960,62450,62866,63016,63023,63333,63528,63638,63854,64081,26576.0
Lucknow,62448,62449,62915,68162,72501,77617,79466,80841,80841,81094,89702,99154,100355,100355,110119,111475,111863,108141,116436,116460,116483,116568,116626,116687,116734,116878,116878,116878,116878,118079,118079,121775,126455,128277,128492,133042,135442,137752,138120,142782,144912,145215,150838,150859,157573,163636,169884,174346,174768,181245,185737,189818,195707,200057,202781,202874,202873,204774,207865,225959,241039,252357,260663,271004,279718,297417,312205,322865,329106,339510,353030,361351,369762,375770,380828,384817,384942,388241,390903,393770,397322,401684,404426,404673,409507,413603,418046,422981,429097,205547.0
Maharajganj,12664,12708,12729,12831,13213,14538,14541,14925,14925,14925,15126,15286,15410,15410,16288,16705,17511,17039,17995,18024,18024,18024,18024,18024,18024,18024,18024,18024,18024,18035,18035,19111,20460,20527,20538,21833,21872,21949,21949,23411,23530,23530,25393,25404,32987,38662,45534,51848,52309,57346,60244,62076,66067,69664,70585,70585,70585,70585,71619,70082,72694,74482,75558,77458,80295,85093,88393,89210,89861,92185,96530,101530,105194,106898,107733,109909,109948,109958,111387,113128,115502,117759,118564,118572,119519,120034,120195,121706,123193,53077.0
Mahoba,3681,3681,3703,3722,3777,4243,4243,4243,4243,4354,4672,5004,5004,5004,5424,5424,5424,5080,5549,5563,5563,5563,5563,5563,5563,5563,5563,5563,5563,5683,5684,5974,6388,6388,6388,7183,7273,7311,7311,8537,8617,8617,10321,10331,11171,13020,14591,15027,15029,16856,17348,17932,20315,23402,24500,24500,24500,24500,24823,27513,33821,36388,37675,41125,43656,46867,50053,51280,51561,54989,60068,65819,69159,69535,71379,73063,73065,73939,75332,76402,77469,77978,78468,78468,79326,79844,80200,80573,81104,27390.0
Mainpuri,10554,10558,10558,11335,11432,11458,11458,11458,11458,11463,11657,11855,11855,11855,12338,12338,12338,12899,13185,13185,13185,13185,13185,13185,13185,13184,13184,13184,13184,13242,13242,13788,14222,14264,14264,16264,16318,16405,16409,18960,19031,20603,23437,23440,24456,27682,31202,32237,34756,38313,39121,40054,43431,45437,45994,45994,45994,46068,46288,47872,50292,51805,52640,55787,58207,63273,65735,67120,68038,71082,74536,77931,81987,82995,83441,83759,83759,83927,84361,84760,85610,86308,86758,86758,87321,87655,87991,88441,88927,38808.0
Mathura,17437,17437,17441,17878,18343,19225,19237,19237,19343,19373,20823,23037,23144,23144,23637,23875,23900,23084,25047,25047,25234,25247,25253,25253,25253,25253,25253,25253,25253,25463,25463,27478,31467,32291,32410,36489,36951,37222,37296,41010,41301,41388,46370,46462,51831,56838,61162,62232,62413,65952,66971,67773,69581,71739,72203,72230,72230,72656,73321,71601,76412,79516,81912,85139,88413,93438,96272,98696,99217,104698,111295,116137,120856,122205,123181,124064,124160,126404,128824,130703,133134,135413,137536,137735,140297,141864,143856,145071,147226,63488.0
Mau,10755,10755,10755,10927,12410,12496,12591,12591,12591,12606,13464,14235,14285,14285,14936,15422,15423,15167,15526,15526,15526,15532,15533,15533,15533,15528,15528,15528,15528,15587,15587,15993,16679,16717,16717,18935,19012,19081,19092,21780,21950,21950,25009,25023,27438,30806,33913,34510,34515,37697,38288,38803,41098,43352,43728,43729,43729,44032,44434,46133,48707,50032,50385,52738,54271,56486,59362,61736,62701,64105,67006,68649,70702,72983,74969,75738,75738,77417,78318,78684,79830,81408,82116,82115,82937,84049,84511,84541,85999,37866.0
Meerut,24961,24961,24961,25265,25785,27254,27412,27555,27555,27570,29391,31435,31436,31436,36755,37778,37778,40268,40368,40423,40423,40423,40423,40423,40423,40423,40423,40423,40423,40934,41074,42701,44678,45651,46042,51524,52540,53451,53811,59368,60193,60484,65454,65462,71375,76950,82611,84682,85013,90915,92581,94066,99178,103437,104271,104313,104313,105249,106584,113489,126540,134267,138940,146622,153498,165258,173187,179933,187109,193993,205524,214265,223641,231434,239243,246525,246660,252193,257598,262287,266541,271015,274783,274891,278160,281128,283939,287324,291048,109821.0
Mirzapur,12737,12737,12737,13076,13344,13641,15107,15107,15107,15116,16441,17461,17461,17461,18723,18823,18823,18110,19203,19247,19247,19304,19307,19307,19307,19303,19303,19303,19303,19446,19446,20515,21539,21616,21616,22551,22624,23743,23743,28285,29619,32986,38290,38364,42104,46895,50231,51330,53046,57757,61869,62919,67087,69775,70878,70878,70878,71221,71518,71225,76581,78606,79767,83473,86759,92810,96929,97624,97749,102581,108907,111325,113513,116787,118862,119380,119441,121612,122665,123201,124249,125071,125378,125377,125429,125717,126534,128150,129908,56995.0
Moradabad,24470,24470,24470,25261,25906,26417,26980,26982,26982,27008,28767,31595,31637,31637,34775,34775,34775,35329,37292,37292,37292,37299,37299,37299,37304,37304,37304,37304,37304,37465,37465,37802,38286,38659,38714,40646,41163,41465,41550,43596,43983,43983,46704,46714,48481,52118,55575,56660,56675,59640,60785,61568,64187,66729,68609,68609,68609,70473,72700,69694,75006,78828,81973,85259,88132,93673,99003,102681,105818,109438,116182,121155,126331,128608,129923,130982,130982,131854,133400,134285,135905,137887,138997,139021,139804,140815,141581,143466,145208,67618.0
Muzaffarnagar,10850,10850,10850,11214,11896,11948,11977,11979,11979,11985,13765,15237,15237,15237,18277,18476,18476,19691,20165,20165,20165,20167,20167,20167,20167,20081,20081,20081,20081,20267,20267,21208,22615,22833,22904,28003,28467,28927,29080,34314,34811,34936,38551,38565,40910,44599,48014,49392,49522,53057,54743,56338,60738,65157,67488,67488,67488,67899,68326,67780,75102,79064,81113,85618,89084,94161,100479,104814,105828,108568,113934,118063,121626,124933,126820,128290,128383,128466,130500,132656,134421,134686,136471,136558,138592,139050,139187,141651,143763,58966.0
Pilibhit,9780,9780,10681,10949,11218,11218,11218,11218,11218,11219,12191,13416,13416,13416,14802,14802,14803,15474,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15744,15759,16481,17209,17233,17233,18711,18750,18802,18817,20907,20933,20933,23908,23929,27265,32313,37254,40025,40073,44957,47331,49166,53107,55756,56386,56386,56386,56386,57013,55945,60545,64972,68428,72700,77376,83748,87073,89708,90241,95902,102325,108370,114585,118285,122022,123212,123212,127271,130547,130542,132916,136092,137790,137792,137798,139352,140877,143148,145474,52650.0
Pratapgarh,13793,13854,13866,14016,15222,15777,16233,16233,16239,16470,16539,17443,18646,18646,18876,20522,20547,19374,20684,20684,20684,20684,20684,20684,20684,20684,20684,20684,20684,20821,20821,21125,21550,21642,21646,23257,24747,24914,24914,28491,29519,29538,33988,34180,36663,41708,47111,49307,49634,54336,56360,57833,61347,64692,65418,65439,65439,65439,65939,63037,67710,71139,74152,75771,79297,83307,86455,88607,89289,91929,96117,99523,102688,104934,105571,105981,106028,106116,106645,108534,110759,112334,113714,113786,115549,117279,118477,119783,121751,52965.0
Prayagraj,31703,31703,31703,34195,37470,38666,40803,40808,40808,41026,44457,48308,50097,50123,53014,54028,54068,51351,57911,57966,57966,58012,58032,58058,58068,58067,58067,58067,58067,58375,58377,59625,61316,62793,62820,65440,67313,68756,68879,76579,78949,79029,87591,87800,94188,102239,108952,111696,112027,118595,121614,123715,128911,132955,134399,134474,134474,134483,136090,134973,142722,147783,151225,156314,162302,174867,186311,193761,197038,207571,219676,225932,232636,235711,240329,244423,244511,248129,250133,252013,254515,257265,259076,259323,262260,264445,266493,269312,272656,122458.0
Rae Bareli,13493,13494,13494,13803,14023,14603,15061,15065,15065,15065,15636,17315,17476,17476,18318,18737,18737,18600,20006,20006,20006,20006,20006,20065,20065,20065,20065,20065,20065,20188,20188,20758,21641,21884,21884,24920,25376,25567,25568,28330,28688,28695,31370,31412,33243,36048,38822,39732,39788,43628,45709,47763,54700,62843,68664,69129,69129,71316,74077,72664,77744,80007,81329,84832,88695,93585,96997,99440,100423,101860,105790,107899,109685,110012,111599,112970,112990,114044,114629,114849,115429,115768,116050,116066,116504,116958,117296,117805,118365,54149.0
Rampur,11894,11894,11894,11973,12041,13113,13202,13262,13262,13273,13350,13761,14181,14181,14520,15000,15014,13682,15158,15158,15158,15158,15158,15163,15163,15149,15149,15149,15149,15326,15406,15511,16166,16317,16328,18433,18527,18591,18612,21901,22087,22128,26438,26457,27574,31949,35609,36192,36252,39490,40212,40631,43283,46830,47235,47251,47251,47253,47571,48140,51430,53142,53826,55777,57464,60777,64940,68034,68528,70412,74378,77523,79584,79968,81668,83302,83313,84979,86326,87538,88958,90785,92004,92009,93560,94301,94627,96083,97404,40672.0
Saharanpur,16421,16437,16437,16576,16760,17907,18657,18695,18695,18704,20031,21591,21666,21666,23493,24351,24351,22790,24852,24967,24967,24967,24967,24967,24967,24967,24967,24967,24967,25175,25175,27211,30389,30651,30652,34733,35110,35378,35379,39581,39981,39982,44206,44231,46192,52896,59036,60886,61029,66881,68885,70181,75652,79811,80755,80755,80755,81535,82420,85459,91774,95811,98181,102302,107102,113310,119031,122539,122673,128065,136061,143887,148647,150250,154103,157854,157889,159676,163851,167621,170685,171286,175365,175415,178714,179893,180514,185081,188705,73337.0
Sambhal,7638,7638,7638,7705,7857,8680,8681,8681,8681,8686,9515,10260,10260,10260,11804,11804,11804,11123,12141,12180,12180,12180,12180,12180,12180,12178,12178,12178,12178,12319,12319,13679,15582,15686,15694,17531,17641,17780,17780,19181,19293,19310,21238,21243,22459,24099,25572,26074,26095,27497,28093,28456,29406,30262,30488,30488,30488,30761,31060,29865,32015,33255,34549,36358,39062,43627,47565,50737,53245,55447,59829,63052,65682,67462,69524,70794,70793,71480,72981,74181,75327,77011,78351,78351,79579,80369,80856,81133,81733,31848.0
Sant Kabir Nagar,7538,7635,8784,9233,9486,9624,9624,9648,9648,9760,10542,10979,10981,10981,11521,11575,11575,12026,12081,12136,12136,12138,12138,12138,12139,12138,12138,12138,12138,12177,12177,12469,12771,12826,12826,14166,14386,14421,14429,15789,15845,15845,17047,17048,19213,21643,24684,26817,26847,29147,31439,32383,34394,36341,37066,37066,37066,37487,38015,37377,38477,39330,39745,41177,43374,45845,47598,50038,50445,51930,54934,56930,59060,59259,60518,62323,62323,64206,64887,65555,66868,68559,69572,69572,70168,70948,71309,71771,72382,30617.0
Shahjahanpur,15772,15800,17793,17804,18195,18331,18332,18332,18332,18346,19554,20556,20622,20622,21301,21301,21301,21900,21919,21997,21997,21997,21997,21997,21997,21997,21997,21997,21997,22465,22465,22925,24103,24225,24235,26766,26903,27049,27099,33189,33711,33711,40553,40644,47954,55419,61227,63448,63517,68676,71121,72605,78629,83195,83982,83987,83987,83997,84396,82106,83721,85157,86811,90158,93952,99181,105530,109041,109230,111855,118590,123807,126070,127723,130602,131602,131611,134911,136021,136585,137469,138207,138820,138817,140521,141348,141951,142572,143443,64266.0
Shamli,5764,5764,5764,5835,6174,6221,6221,6263,6263,6267,6737,7293,7293,7293,8273,8273,8273,8037,8636,8636,8636,8696,8696,8696,8696,8696,8696,8696,8696,8878,8878,10149,11833,11891,11928,14307,14421,14596,14617,16947,17045,17058,18642,18643,19567,21526,23434,23747,23782,25725,26232,26528,28334,30055,30295,30295,30295,30531,30852,29914,30840,32068,32768,35063,36742,40260,43320,46079,46360,48120,50540,52262,53720,55194,56956,58641,58641,59800,61244,62211,62874,63357,64034,64034,64526,65375,66368,67444,68548,27032.0
Shrawasti,5096,5096,5096,5838,5980,5980,6023,6064,6064,6064,6328,6444,6444,6444,6527,6527,6527,6609,6623,6623,6623,6623,6629,6629,6629,6629,6629,6629,6629,6827,6827,7298,7617,7677,7677,8811,8857,8905,8905,10512,10534,10534,11380,11385,13861,15692,17661,19908,20123,21436,23820,25155,26497,27431,27836,27836,27836,27973,28218,27899,29149,30480,31331,32033,33359,34866,36177,36727,36813,37703,40091,42416,43471,43560,44089,44845,44896,45709,46328,46730,47017,47390,47797,47841,48210,48493,48815,49103,49353,21458.0
Siddharthnagar,13077,13077,13077,13124,13285,15116,15205,15205,15205,15208,15607,16170,16170,16170,16335,16335,16398,17409,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17588,17588,18354,20073,20132,20132,24047,24482,24520,24520,29089,29474,29474,32712,32747,33918,37153,39912,40780,40826,44031,45165,45713,47971,51321,52374,52421,52421,52932,53947,55367,65433,72968,78125,82515,91485,103437,106501,106890,106888,114463,121796,128308,132473,136624,138877,139322,139443,139760,143217,144878,146055,146978,148389,148450,148445,148516,149325,151101,152738,58525.0
Sitapur,19483,19483,19483,19888,20425,22390,22391,22428,22437,22473,24519,25946,26012,26012,29344,29371,29371,30892,31418,31418,31418,31418,31418,31418,31418,31418,31418,31418,31418,31571,31571,32292,33348,33450,33450,38436,38545,38666,38666,44956,45065,45065,50936,50946,53620,62621,71900,75215,75285,84966,88254,90157,95927,99734,100350,100350,100349,100349,100991,97732,105148,108899,110969,116389,121544,128747,132955,137549,138487,143890,152853,159125,164254,166232,167901,168798,168816,169748,171620,173230,174994,176441,177324,177336,178287,179003,179435,179672,180354,81716.0
Sonbhadra,11554,11554,11566,11951,12366,12401,13745,13745,13745,13784,14483,15223,15223,15223,16156,16156,16156,15687,16334,16334,16334,16334,16420,16420,16420,16420,16420,16420,16420,16462,16462,16757,17168,17168,17168,19363,19363,19401,19401,20790,20825,20835,23306,23336,25303,27722,29731,30068,30123,31659,32474,32776,34159,35360,35647,35647,35647,35655,35934,33746,35759,36787,37178,38462,40251,43223,47269,50998,51838,53529,57472,62073,65148,68027,70336,71340,71450,72808,73811,74433,75272,76181,76675,76683,77372,77921,78401,78422,79408,34371.0
Sultanpur,14196,14196,14196,14560,14898,16084,16426,16426,16426,16431,16860,17538,17538,17538,19336,19336,19336,19669,20169,20169,20169,20169,20169,20171,20171,20171,20171,20171,20171,20306,20306,21183,23011,23138,23153,26756,27012,27209,27209,31380,31667,31689,36435,36465,38932,43240,47253,48300,48317,52232,54581,58087,64651,71156,73909,73916,73916,74399,75343,74507,80652,83812,85332,88035,90883,93995,96944,99173,100411,102798,106668,108605,110671,113534,114926,115566,115565,115580,117127,118120,119200,119647,121152,121150,122143,122630,122854,124800,126476,56865.0
Unnao,15462,15474,15479,15499,16174,17449,17453,17455,17455,17458,18399,18692,18919,18919,19179,19711,19711,19637,20110,20110,20115,20115,20115,20115,20115,20115,20115,20115,20115,20241,20242,20904,22379,22617,22617,24987,25185,25334,25334,30059,30332,30332,37012,37296,43340,49561,54846,57653,57891,63126,66681,68980,72735,76678,77973,77992,77992,77992,79791,81936,89545,93442,97020,98941,102957,109241,116510,120713,122922,129537,136407,140381,144767,147636,150144,151343,151469,152821,154441,155439,156427,157317,157893,157972,158334,158911,159587,160401,161363,67570.0
Varanasi,23011,23011,23011,23324,24112,24439,25592,25672,25672,25915,28389,32315,32315,32514,41218,41222,41449,38092,47502,47651,47882,47899,48277,48756,48827,47568,47568,47568,47568,47802,47824,49296,50932,51607,51805,55991,57302,58742,59102,64895,66446,66898,72607,72692,78159,83547,88220,91209,91878,96921,100923,104161,109176,112519,114168,114304,114304,114407,116388,118636,126732,132726,137729,142415,147670,155552,158899,161144,163338,169314,177359,182698,189143,193861,198118,200663,200738,201239,201795,204186,207474,211392,214219,214429,218424,221900,224917,229478,234850,101164.0
Almora,5528,5705,6020,6327,6473,6909,7133,7300,7458,7607,7707,7861,8229,8232,8842,9137,9418,9059,9472,9472,9472,9472,9472,9472,9472,9072,9072,9072,9072,9943,10307,10836,11404,12518,12518,13425,14454,15896,15897,17472,19214,19301,21651,21701,25442,27191,28473,28749,28758,29950,30736,31507,32753,34131,34723,34723,34723,35485,36532,36407,39556,41821,44621,46824,50941,57118,63068,66743,67828,68627,69622,71863,75093,78008,80906,82960,83271,87211,90732,92596,95367,98405,100057,100540,103407,104852,106114,108632,110668,36650.0
